model,term,estimate_log_rr,rr,ci_low_rr,ci_high_rr,p_value
raw_temperature,C(prefecture_code)[T.JP-28],-0.03819584714107321,0.9625244147758047,0.9472934952018113,0.9780002224570686,2.686544736081051e-06
raw_temperature,C(prefecture_code)[T.JP-29],0.20019335095050042,1.221638940376696,1.195728819102008,1.248110505328031,7.818739833639491e-75
raw_temperature,C(prefecture_code)[T.JP-30],0.10080877548175239,1.1060651147707719,1.0780820169265177,1.1347745523115118,1.2539152574586521e-14
raw_temperature,C(prefecture_code)[T.JP-31],0.3196482526420822,1.3766434484667438,1.3384273855619295,1.415950693067106,1.0448732950958959e-109
raw_temperature,C(prefecture_code)[T.JP-32],0.3037136894691192,1.3548810838296586,1.3193963811890976,1.3913201350946671,2.0227512706180928e-111
raw_temperature,C(prefecture_code)[T.JP-33],-0.03104582516034764,0.9694311477203439,0.949637490987774,0.9896373711960815,0.0031813487628330013
raw_temperature,C(prefecture_code)[T.JP-34],-0.23065808347445887,0.7940109050777572,0.7788084019104297,0.809510164291868,6.076792181634133e-121
raw_temperature,C(prefecture_code)[T.JP-35],0.10178407276798906,1.1071443832938894,1.082547345106966,1.1323003016908133,6.726900410929032e-19
raw_temperature,C(prefecture_code)[T.JP-36],-0.16526913891529643,0.8476655336022667,0.82194622372776,0.874189619849394,7.516363482730833e-26
raw_temperature,C(prefecture_code)[T.JP-37],0.04152445531056921,1.04239865372258,1.015052286873388,1.0704817548164227,0.0022027220896864417
raw_temperature,C(prefecture_code)[T.JP-38],0.3098917926841575,1.3632775895419893,1.3354746958322268,1.3916593043264216,5.648204523199987e-191
raw_temperature,C(prefecture_code)[T.JP-39],-0.0036324109455814187,0.9963741782783865,0.967346218378388,1.0262732042351361,0.8097152482408225
raw_temperature,C(prefecture_code)[T.JP-40],-0.41591073338582657,0.6597391605369909,0.6477782576611557,0.6719209155268222,0.0
raw_temperature,C(prefecture_code)[T.JP-41],-0.13729044982759514,0.8717169993068853,0.8460275370562803,0.8981865171015706,2.349689074181706e-19
