variable,assigned_band,mean_band_variance_fraction,median_band_variance_fraction,min_band_variance_fraction,max_band_variance_fraction,mean_n_components
w2c_event,noise,0.05130104809350413,0.0511719552404458,0.05002593532076982,0.05414711510539838,20.23913043478261
w2c_event,seasonal_subannual,0.044655640082227804,0.04149633793540513,0.02260810388308076,0.07620563400616491,16.17391304347826
w2c_event,semiannual,0.006438230019041646,0.006103318703712418,0.000979839320681992,0.013378809648606405,2.2857142857142856
w2c_event,subseasonal,0.21652216012158973,0.21692694111287542,0.1588105676728746,0.2759807648344178,76.97826086956522
w2c_event,trend,0.012322083205251655,0.0117973936224068,0.003747559409704534,0.026860619664500436,1.0
w2c_transition_intensity,annual,0.006264449721776231,0.00573218776847971,0.0004381785744785892,0.026665224029513407,2.046511627906977
w2c_transition_intensity,high_frequency,0.6635957938807867,0.6633767023500349,0.5965353143083565,0.7080002153217948,247.52173913043478
w2c_transition_intensity,interannual,0.003679047188824607,0.0035369167399941365,0.0010366744803008904,0.005684980276049961,1.0
w2c_transition_intensity,noise,0.051455288173034915,0.05128608514813531,0.050091397671268155,0.054055147835920886,20.02173913043478
w2c_transition_intensity,seasonal_subannual,0.046813207868498845,0.04685611242808278,0.028835340306820917,0.0759326903951391,16.41304347826087
w2c_transition_intensity,semiannual,0.006697993032550043,0.006481908879316162,0.0006131096495380859,0.01494800149263393,2.3
w2c_transition_intensity,subseasonal,0.21392779738691017,0.21783602287372764,0.16266328818055995,0.26232592834263563,76.04347826086956
w2c_transition_intensity,trend,0.012595423666001433,0.012366450886605457,0.0062977435103214385,0.024566761960995297,1.0
