component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
102,365.62155944305914,365.62155944305914,0.00015679295661531796,0.9692888480810605,2.588846880907372,high_frequency,JP-13,cases
103,365.5786129566353,365.5786129566353,0.00015675612448147453,0.969445604205542,2.588846880907372,high_frequency,JP-13,cases
104,365.1253319619935,365.1253319619935,0.00015636764157128514,0.9696019718471133,19.288732394366196,subseasonal,JP-13,cases
105,363.9958332623352,363.9958332623352,0.0001554017054722951,0.9697573735525856,2.0191669738297087,high_frequency,JP-13,cases
106,362.9249339073079,362.9249339073079,0.00015448864679213525,0.9699118621993778,2.444444444444444,high_frequency,JP-13,cases
107,362.58318119116035,362.58318119116035,0.00015419783152267533,0.9700660600309005,2.418543046357616,high_frequency,JP-13,cases
108,362.24581723026324,362.24581723026324,0.0001539110195984557,0.970219971050499,2.22502030869212,high_frequency,JP-13,cases
109,361.88509032449645,361.88509032449645,0.0001536046408926199,0.9703735756913916,2.0679501698754246,high_frequency,JP-13,cases
110,361.47623985000087,361.47623985000087,0.0001532577581049407,0.9705268334494965,2.0679501698754246,high_frequency,JP-13,cases
111,361.18220052647706,361.18220052647706,0.00015300852745465411,0.9706798419769512,2.0757862826828344,high_frequency,JP-13,cases
112,360.7019758938298,360.7019758938298,0.00015260192039801267,0.9708324438973492,2.22502030869212,high_frequency,JP-13,cases
113,360.2635147129691,360.2635147129691,0.0001522311469865301,0.9709846750443357,3.3463653023824067,high_frequency,JP-13,cases
114,360.17730898978243,360.17730898978243,0.00015215830238535127,0.9711368333467211,3.3463653023824067,high_frequency,JP-13,cases
115,359.332811421565,359.332811421565,0.0001514456163214041,0.9712882789630425,23.41025641025641,subseasonal,JP-13,cases
116,359.14823372322184,359.14823372322184,0.00015129007080485674,0.9714395690338473,23.41025641025641,subseasonal,JP-13,cases
117,358.98556809200693,358.98556809200693,0.0001511530570627027,0.97159072209091,2.1315175097276264,high_frequency,JP-13,cases
118,358.7484581575504,358.7484581575504,0.0001509534498443904,0.9717416755407544,2.024390243902439,high_frequency,JP-13,cases
119,358.6481903449916,358.6481903449916,0.00015086908066205078,0.9718925446214165,23.41025641025641,subseasonal,JP-13,cases
120,358.1111197482386,358.1111197482386,0.00015041757034799523,0.9720429621917644,7.535075653370014,subseasonal,JP-13,cases
121,357.6988670874078,357.6988670874078,0.0001500714523548152,0.9721930336441192,7.535075653370014,subseasonal,JP-13,cases
122,356.52220264459896,356.52220264459896,0.00014908574443948318,0.9723421193885587,3.1001697792869267,high_frequency,JP-13,cases
123,356.4450134663404,356.4450134663404,0.00014902119552632294,0.972491140584085,3.1001697792869267,high_frequency,JP-13,cases
124,356.3835920957579,356.3835920957579,0.00014896984231830906,0.9726401104264033,2.024390243902439,high_frequency,JP-13,cases
125,356.25053848270943,356.25053848270943,0.00014885862914140757,0.9727889690555447,2.024390243902439,high_frequency,JP-13,cases
126,356.05475695808525,356.05475695808525,0.00014869506020283793,0.9729376641157476,6.529201430274136,high_frequency,JP-13,cases
127,355.67944200998016,355.67944200998016,0.00014838174847441632,0.973086045864222,2.8324715615305065,high_frequency,JP-13,cases
128,355.5633994322483,355.5633994322483,0.00014828494337571535,0.9732343308075977,2.8324715615305065,high_frequency,JP-13,cases
129,354.2096201618466,354.2096201618466,0.00014715792680239324,0.9733814887344001,9.799642218246868,subseasonal,JP-13,cases
130,353.8775681343615,353.8775681343615,0.00014688215120806504,0.9735283708856082,9.799642218246868,subseasonal,JP-13,cases
