prefecture_code,year,population
JP-07,1979,2014225.6
JP-07,1980,2035135.0
JP-07,1981,2042247.0
JP-07,1982,2050384.0
JP-07,1983,2059521.0
JP-07,1984,2065658.0
JP-07,1985,2080250.0
JP-07,1986,2084623.4
JP-07,1987,2093451.8
JP-07,1988,2096280.2
JP-07,1989,2100108.6
JP-07,1990,2101422.0
JP-07,1991,2104530.0
JP-07,1992,2116123.0
JP-07,1993,2118716.0
JP-07,1994,2126309.0
JP-07,1995,2133204.0
JP-07,1996,2134646.2
JP-07,1997,2137390.4
JP-07,1998,2137134.6
JP-07,1999,2136878.8
JP-07,2000,2126168.0
JP-07,2001,2122936.2
JP-07,2002,2121249.4
JP-07,2003,2115562.6
JP-07,2004,2108875.8
JP-07,2005,2089485.0
JP-07,2006,2076760.2
JP-07,2007,2065331.4
JP-07,2008,2048902.6
JP-07,2009,2038473.8
JP-07,2010,2016293.0
JP-07,2011,1989989.0
JP-07,2012,1957933.0
JP-07,2013,1939877.0
JP-07,2014,1928821.0
JP-07,2015,1890490.0
JP-07,2016,1896340.2
JP-07,2017,1877915.4
JP-07,2018,1857490.6
JP-07,2019,1839065.8
JP-07,2020,1797909.0
JP-08,1975,2341912.0
JP-08,1976,2378393.6
JP-08,1977,2417411.2
JP-08,1978,2460428.8
JP-08,1979,2507446.4
JP-08,1980,2557379.0
JP-08,1981,2593825.4
JP-08,1982,2630054.8
JP-08,1983,2667284.2
JP-08,1984,2690513.6
JP-08,1985,2724678.0
JP-08,1986,2747971.6
JP-08,1987,2769200.2
JP-08,1988,2798428.8
JP-08,1989,2824657.4
JP-08,1990,2841618.0
JP-08,1991,2870614.6
JP-08,1992,2896343.2
JP-08,1993,2917071.8
JP-08,1994,2935800.4
JP-08,1995,2953919.0
JP-08,1996,2969340.0
JP-08,1997,2984151.0
JP-08,1998,2993962.0
JP-08,1999,3001773.0
JP-08,2000,2984396.0
JP-08,2001,2994666.8
JP-08,2002,2991749.6
JP-08,2003,2995832.4
JP-08,2004,2995915.2
JP-08,2005,2972933.0
JP-08,2006,2973987.2
JP-08,2007,2966976.4
JP-08,2008,2964965.6
JP-08,2009,2959954.8
JP-08,2010,2955590.0
JP-08,2011,2953001.4
JP-08,2012,2939058.8
JP-08,2013,2932116.2
JP-08,2014,2915173.6
JP-08,2015,2882013.0
JP-08,2016,2900599.2
JP-08,2017,2887967.4
JP-08,2018,2871335.6
JP-08,2019,2855703.8
JP-08,2020,2810207.0
JP-09,1975,1697851.0
JP-09,1976,1716002.0
JP-09,1977,1734359.0
JP-09,1978,1752716.0
JP-09,1979,1772073.0
JP-09,1980,1791771.0
JP-09,1981,1804285.2
JP-09,1982,1817958.4
JP-09,1983,1834631.6
JP-09,1984,1845304.8
JP-09,1985,1865983.0
JP-09,1986,1877102.8
JP-09,1987,1895227.6
JP-09,1988,1906352.4
JP-09,1989,1916477.2
JP-09,1990,1933794.0
JP-09,1991,1945552.2
JP-09,1992,1956502.4
JP-09,1993,1967452.6
JP-09,1994,1975402.8
JP-09,1995,1982766.0
JP-09,1996,1993612.0
JP-09,1997,2000871.0
JP-09,1998,2007130.0
JP-09,1999,2013389.0
JP-09,2000,2003574.0
JP-09,2001,2011567.2
JP-09,2002,2010486.4
JP-09,2003,2014405.6
JP-09,2004,2013324.8
JP-09,2005,2012357.0
JP-09,2006,2015862.0
JP-09,2007,2013480.0
JP-09,2008,2011098.0
JP-09,2009,2003716.0
JP-09,2010,1988777.0
JP-09,2011,1998366.0
JP-09,2012,1989398.0
JP-09,2013,1981430.0
JP-09,2014,1976462.0
JP-09,2015,1963998.0
JP-09,2016,1965678.4
JP-09,2017,1951862.8
JP-09,2018,1942047.2
JP-09,2019,1932231.6
JP-09,2020,1896488.0
JP-10,1975,1756380.0
JP-10,1976,1776314.2
JP-10,1977,1796261.4
JP-10,1978,1811208.6
JP-10,1979,1828155.8
JP-10,1980,1848477.0
JP-10,1981,1862013.2
JP-10,1982,1877105.4
JP-10,1983,1889197.6
JP-10,1984,1904289.8
JP-10,1985,1921206.0
JP-10,1986,1933831.8
JP-10,1987,1941281.6
JP-10,1988,1950731.4
JP-10,1989,1955181.2
JP-10,1990,1964973.0
JP-10,1991,1976970.6
JP-10,1992,1985310.2
JP-10,1993,1989649.8
JP-10,1994,1992989.4
JP-10,1995,2003340.0
JP-10,1996,2008761.4
JP-10,1997,2017193.8
JP-10,1998,2023626.2
JP-10,1999,2031058.6
JP-10,2000,2020277.0
JP-10,2001,2030598.6
JP-10,2002,2034706.2
JP-10,2003,2036813.8
JP-10,2004,2032921.4
JP-10,2005,2022769.0
JP-10,2006,2016979.0
JP-10,2007,2015929.0
JP-10,2008,2008879.0
JP-10,2009,2007829.0
JP-10,2010,1996645.0
JP-10,2011,1997204.4
JP-10,2012,1989629.8
JP-10,2013,1981055.2
JP-10,2014,1972480.6
JP-10,2015,1955634.0
JP-10,2016,1963467.0
JP-10,2017,1956028.0
JP-10,2018,1946589.0
JP-10,2019,1939150.0
JP-10,2020,1895911.0
JP-11,1975,4819281.0
JP-11,1976,4964578.6
JP-11,1977,5097150.2
JP-11,1978,5211721.8
JP-11,1979,5327293.4
JP-11,1980,5416836.0
JP-11,1981,5519972.2
JP-11,1982,5614232.4
JP-11,1983,5695492.6
JP-11,1984,5774752.8
JP-11,1985,5860816.0
JP-11,1986,5952752.8
JP-11,1987,6066492.6
JP-11,1988,6182232.4
JP-11,1989,6291972.2
JP-11,1990,6387632.0
JP-11,1991,6482707.0
JP-11,1992,6561702.0
JP-11,1993,6630697.0
JP-11,1994,6692692.0
JP-11,1995,6748369.0
JP-11,1996,6809360.0
JP-11,1997,6854033.0
JP-11,1998,6894706.0
JP-11,1999,6934379.0
JP-11,2000,6924912.0
JP-11,2001,6980819.8
JP-11,2002,7004587.6
JP-11,2003,7030355.4
JP-11,2004,7047123.2
JP-11,2005,7034871.0
JP-11,2006,7068320.8
JP-11,2007,7091750.6
JP-11,2008,7114180.4
JP-11,2009,7127610.2
JP-11,2010,7166240.0
JP-11,2011,7208907.8
JP-11,2012,7213775.6
JP-11,2013,7221643.4
JP-11,2014,7237511.2
JP-11,2015,7204498.0
JP-11,2016,7280826.8
JP-11,2017,7296274.6
JP-11,2018,7313722.4
JP-11,2019,7335170.2
JP-11,2020,7125550.0
JP-13,1975,11656450.0
JP-13,1976,11661402.6
JP-13,1977,11641023.2
JP-13,1978,11617643.8
JP-13,1979,11579264.4
JP-13,1980,11597135.0
JP-13,1981,11636434.8
JP-13,1982,11666440.6
JP-13,1983,11727446.4
JP-13,1984,11799452.2
JP-13,1985,11819345.0
JP-13,1986,11896162.6
JP-13,1987,11895867.2
JP-13,1988,11882571.8
JP-13,1989,11872276.4
JP-13,1990,11761756.0
JP-13,1991,11885133.4
JP-13,1992,11871285.8
JP-13,1993,11827438.2
JP-13,1994,11764590.6
JP-13,1995,11734360.0
JP-13,1996,11772345.4
JP-13,1997,11812947.8
JP-13,1998,11834550.2
JP-13,1999,11845152.6
JP-13,2000,12016112.0
JP-13,2001,12133326.2
JP-13,2002,12216897.4
JP-13,2003,12308468.6
JP-13,2004,12371039.8
JP-13,2005,12413571.0
JP-13,2006,12645410.0
JP-13,2007,12739209.0
JP-13,2008,12808008.0
JP-13,2009,12828807.0
JP-13,2010,12966083.0
JP-13,2011,13179782.0
JP-13,2012,13211958.0
JP-13,2013,13275134.0
JP-13,2014,13363310.0
JP-13,2015,13252659.0
JP-13,2016,13585526.2
JP-13,2017,13674566.4
JP-13,2018,13773606.6
JP-13,2019,13879646.8
JP-13,2020,13612346.0
JP-14,1975,6394086.0
JP-14,1976,6503437.6
JP-14,1977,6611582.2
JP-14,1978,6718726.8
JP-14,1979,6815871.4
JP-14,1980,6918621.0
JP-14,1981,7016562.8
JP-14,1982,7117381.6
JP-14,1983,7208200.4
JP-14,1984,7306019.2
JP-14,1985,7428516.0
JP-14,1986,7544464.2
JP-14,1987,7660090.4
JP-14,1988,7757716.6
JP-14,1989,7843342.8
JP-14,1990,7954668.0
JP-14,1991,8044164.4
JP-14,1992,8104359.8
JP-14,1993,8149555.2
JP-14,1994,8183750.6
JP-14,1995,8238583.0
JP-14,1996,8284771.4
JP-14,1997,8323596.8
JP-14,1998,8388422.2
JP-14,1999,8446247.6
JP-14,2000,8474676.0
JP-14,2001,8573842.6
JP-14,2002,8628612.2
JP-14,2003,8689381.8
JP-14,2004,8735151.4
JP-14,2005,8751761.0
JP-14,2006,8825823.4
JP-14,2007,8874725.8
JP-14,2008,8913628.2
JP-14,2009,8935530.6
JP-14,2010,8993834.0
JP-14,2011,9054003.0
JP-14,2012,9061573.0
JP-14,2013,9069143.0
JP-14,2014,9085713.0
JP-14,2015,9039801.0
JP-14,2016,9131938.0
JP-14,2017,9142593.0
JP-14,2018,9160248.0
JP-14,2019,9188903.0
JP-14,2020,9018813.0
JP-15,1975,2391687.0
JP-15,1976,2402679.4
JP-15,1977,2413614.8
JP-15,1978,2424550.2
JP-15,1979,2436485.6
JP-15,1980,2450943.0
JP-15,1981,2456511.6
JP-15,1982,2463557.2
JP-15,1983,2468602.8
JP-15,1984,2471648.4
JP-15,1985,2478262.0
JP-15,1986,2483082.2
JP-15,1987,2479470.4
JP-15,1988,2481858.6
JP-15,1989,2479246.8
JP-15,1990,2472690.0
JP-15,1991,2477398.4
JP-15,1992,2473161.8
JP-15,1993,2475925.2
JP-15,1994,2480688.6
JP-15,1995,2487633.0
JP-15,1996,2491422.4
JP-15,1997,2494392.8
JP-15,1998,2490363.2
JP-15,1999,2490333.6
JP-15,2000,2472714.0
JP-15,2001,2474586.2
JP-15,2002,2465868.4
JP-15,2003,2459150.6
JP-15,2004,2454432.8
JP-15,2005,2425323.0
JP-15,2006,2415105.8
JP-15,2007,2401496.6
