prefecture_code,target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-44,incidence_per_100k,semiannual,hist_gradient_boosting,validation,medium,365,0.0025865770001410418,0.0030023306816440365,0.267177119004171,0.9286163870806311,0.9726934785513779
JP-45,incidence_per_100k,semiannual,hist_gradient_boosting,validation,medium,365,0.013377717604898021,0.015094308296449841,0.6888353580517088,0.525505849497774,0.8891374756560133
JP-46,incidence_per_100k,semiannual,hist_gradient_boosting,validation,medium,365,0.008310903281990205,0.009218439792698943,0.44280041961295924,0.8039277883905873,0.9708293306434322
JP-47,incidence_per_100k,semiannual,hist_gradient_boosting,validation,medium,365,0.010696590787465826,0.012160981472801181,0.8262750653047679,0.3172695164556014,0.593382101663775
JP-01,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004776516184142624,0.0059976277051843494,0.5789032991306827,0.6648709702556113,0.8252426769369308
JP-02,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.008359324008684645,0.009379050603621469,0.6357195898274668,0.5958606031095974,0.8428654938586689
JP-03,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.012442831417414332,0.01501280957158352,0.754002285551512,0.4314805533830961,0.7947565643874389
JP-04,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0018243108182469537,0.0024819004605279773,0.8133966076552739,0.3383859586548924,0.6449543797974477
JP-05,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004595268429326193,0.005505778970918041,1.0494917627365399,-0.10143296005184954,-0.0885679216417142
JP-06,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.009701520607981275,0.011433912749315229,0.704903571726602,0.5031109545670795,0.9003595101350602
JP-07,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006822550024527586,0.008461976823221412,0.518777941402778,0.7308694475138959,0.8629429228076032
JP-08,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006088144744231572,0.007187593996395169,0.3491478376615045,0.8780957874562957,0.967030144304758
JP-09,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006389967009218284,0.007558810043478998,0.35993397302208924,0.870447535064534,0.9602094594515656
JP-10,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006537108059650701,0.007707615845498138,0.3512466867478967,0.8766257650486249,0.9745950914756879
JP-11,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.00669010911346117,0.007973619831496925,0.708014292740387,0.49871576127532946,0.7351404777600847
JP-13,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.007116110594454464,0.008688718406273586,0.6746073404934266,0.5449049361523859,0.7480771153327009
JP-14,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.005390398844807532,0.006180278981768271,0.3667368368238316,0.8655040925164503,0.9599055253631633
JP-15,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.00934909400888415,0.010548944818071343,0.6777479753696442,0.5406576818823483,0.9670894354553492
JP-16,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004989159459731464,0.005843882596426493,0.8476484084296615,0.2814921756866616,0.6059472380616059
JP-17,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.00868918258605429,0.009980174500303534,1.020289760933847,-0.04099119626644687,0.1548508795613511
JP-18,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.003944215654762,0.004981182839501295,0.487919302689632,0.7619347540628632,0.9013631064817339
JP-19,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.008438600212512557,0.010093613773359213,0.5489402887062788,0.6986645594350673,0.8480920129437232
JP-20,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.005071692738885582,0.006755750947713462,0.8951810775475801,0.19865083840075337,0.48895218021972975
JP-21,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.008850158890246894,0.01015627704652786,0.488849188181969,0.7610264712138299,0.9338932821407001
JP-22,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.007471657779827689,0.008715743312723925,0.44445099232766333,0.8024633154189553,0.932605916523767
JP-23,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0032265522670292205,0.003946882573223575,0.2621747702253498,0.931264389857285,0.9669942506259782
JP-24,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.007551680269716521,0.00872696888144347,0.46049319877158384,0.7879460138851146,0.892047381646807
JP-25,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.003017469082383286,0.004281390197563833,0.4918877452545393,0.7580464460684054,0.8885584285101634
JP-26,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004644869270717636,0.005787466939945156,0.519022588574056,0.7306155525498862,0.9126511565908701
JP-27,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.008349585904131082,0.009620872836664133,0.5636406565193292,0.6823092103184596,0.928261961914622
JP-28,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0031146336465719257,0.003932656219359105,0.36575985752772605,0.8662197266212975,0.9413803468467982
JP-29,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.01238310615526612,0.014254758438080653,0.5758788836306656,0.6683635113882982,0.9329187703354299
JP-30,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.011217216933950325,0.013021740352461267,0.525901842385039,0.7234272521760216,0.8793935332661669
JP-31,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006272266954617717,0.00754522136590722,0.3630066147135885,0.8682261976741803,0.9619028046847624
JP-32,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.006217175134559896,0.007016363522774897,1.307989888401619,-0.7108375481608795,0.6967563931486597
JP-33,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.010304286611159936,0.013197702384156382,0.8071219332915301,0.34855418479974276,0.6049242017049534
JP-34,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004828637004496204,0.0057542879348334,0.45885689768748517,0.7894503474446168,0.9252524596532767
JP-35,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.005293201273042844,0.0072808824396490245,0.4428823213476115,0.803855249437751,0.9134542418241816
JP-36,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0017111467458032876,0.0021432944807595507,0.6178704854784764,0.6182360631745919,0.8154454618696793
JP-37,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004151385079983329,0.005418690217536718,0.4050511588629641,0.8359335587037698,0.9173963763321613
JP-38,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.008647305388143395,0.010537412527857727,0.5440955810260769,0.7039599987078957,0.840224443531535
JP-39,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004542085277992258,0.005500797179677176,0.3031065963309292,0.9081263912606792,0.9631493904235823
JP-40,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0038061268488878883,0.004564302285719574,0.5300640815751099,0.7190320694239354,0.9002311347044485
JP-41,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.005092652310498338,0.005958446490428305,0.40376004573416785,0.8369778254687427,0.9700057271514453
JP-42,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.0034836038365111894,0.004283368788750713,0.37201055039319575,0.8616081503961516,0.947922411370305
JP-43,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.003210684452522276,0.00408092785107304,0.4160679267374071,0.8268874803404357,0.9304304924737368
JP-44,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.004667070949695526,0.0056522214281286565,0.488491963252019,0.7613756018381881,0.879489853807905
JP-45,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.010499806631790858,0.012356739654423993,0.6030443580084346,0.6363375022741948,0.8457033389710145
JP-46,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.010380364947869179,0.012865680092156042,0.5278363179407736,0.7213888214627265,0.9222499817457508
JP-47,incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,730,0.012136954310567633,0.013934643524571397,0.9444315955585318,0.10804896131076602,0.33829309185034134
JP-01,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007457996065691348,0.009904956374589574,0.9787597886276004,0.04202927616565533,0.21334218780468212
JP-02,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.012964923383451036,0.016471059050203435,0.9014958836628143,0.18730517173900163,0.4518995043675811
JP-03,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.012856800330431937,0.015913524898226113,0.9302235444643882,0.13468415732411043,0.39153045159069655
JP-04,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.00977566772123417,0.012220696388285318,0.9423202572671078,0.112032532744052,0.3534323150569467
JP-05,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4366,0.014358247542882728,0.018147435402942908,0.9457885252341267,0.10548406553545575,0.381531889274879
JP-06,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.009460854504440345,0.01188244921434874,0.9589844796680518,0.08034876775579614,0.3133387823102093
JP-07,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4361,0.011612029441860981,0.014675330238416382,0.9437410066856526,0.1093529122999507,0.3507336250776448
JP-08,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.008499136728096567,0.010778067894361646,0.9079639116734741,0.17560153509860343,0.4250618845415749
JP-09,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.011153132336790252,0.014127460750616199,0.97438007997327,0.05058345975128398,0.25237792705104944
JP-10,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4359,0.009220255684130978,0.011391379612149722,0.9249879856502264,0.14439722640273633,0.3869080973664113
JP-11,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.005853807310362457,0.007677448727890792,0.8826848696053065,0.220867420969863,0.49094397578620635
JP-13,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.006787157423865694,0.008854860396730328,0.9273692998711613,0.13998618165647203,0.37999779701876396
JP-14,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.004051639408652704,0.005010116252883714,0.9344173315557541,0.1268642504882237,0.3673521828631691
JP-15,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.006669808489970659,0.00819869437756124,0.9517999075699415,0.094076935949851,0.3236622055165622
JP-16,incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,4353,0.007907069885663028,0.009802941597038282,0.976271172346775,0.04689459804465357,0.2318576580275268
