target_variable,frequency_band,model_name,split,selected_candidate,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
incidence_per_100k,interannual,hist_gradient_boosting,test,shallow,29930,0.005488122039784472,0.008523247869146097,1.0413262934027727,-0.08436044933195741,0.14045617300296265
incidence_per_100k,annual,hist_gradient_boosting,train,medium,200714,0.0029167604534209115,0.0038913211195956937,0.10492674575579784,0.9889903780250981,0.9944891275760622
incidence_per_100k,annual,hist_gradient_boosting,validation,medium,16790,0.006002937262640728,0.0077455699125502965,0.1771843570620691,0.9686057036125012,0.9910119506590968
incidence_per_100k,annual,hist_gradient_boosting,test,medium,33580,0.007317898764425405,0.009692256375673267,0.21689494643946747,0.9529565822090206,0.9840846701135112
incidence_per_100k,semiannual,hist_gradient_boosting,train,medium,200255,0.002652453232954,0.003633031939448948,0.36337488165108756,0.8679586953850581,0.9321040920659066
incidence_per_100k,semiannual,hist_gradient_boosting,validation,medium,16790,0.005266322766032281,0.006818338953241575,0.4925997245599927,0.7573455113634193,0.8846542969457262
incidence_per_100k,semiannual,hist_gradient_boosting,test,medium,33580,0.006571473662499127,0.00851064840512731,0.5428854981740859,0.7052753358722745,0.8584992969815394
incidence_per_100k,seasonal_subannual,hist_gradient_boosting,train,shallow,200308,0.00899449249856657,0.011718487151282986,0.9348121653910396,0.1261262154369157,0.3711285939017809
incidence_per_100k,seasonal_subannual,hist_gradient_boosting,validation,shallow,16790,0.011290772938413775,0.01458890339299722,1.0086102578268341,-0.017294652193512672,0.07534410047357809
incidence_per_100k,seasonal_subannual,hist_gradient_boosting,test,shallow,33580,0.013288510651959828,0.017464581275347214,0.9866149862146092,0.02659086897674645,0.16385334029990697
incidence_per_100k,subseasonal,hist_gradient_boosting,train,shallow,200749,0.015927098622984973,0.020983775826358665,0.9888887046163218,0.022099129882253155,0.18228178138735707
incidence_per_100k,subseasonal,hist_gradient_boosting,validation,shallow,16790,0.019210853518522537,0.02514075342989059,1.00205693646964,-0.004118103926920247,0.001134649014979765
incidence_per_100k,subseasonal,hist_gradient_boosting,test,shallow,33580,0.021656684646021173,0.028240549581170123,1.0009230307082984,-0.0018469134022853773,0.014418544434325251
incidence_per_100k,high_frequency,hist_gradient_boosting,train,shallow,201053,0.033230051093177206,0.04449638770698383,0.9938088871479398,0.012343895825773554,0.16780771113340096
incidence_per_100k,high_frequency,hist_gradient_boosting,validation,shallow,16790,0.0409631782375143,0.0544329223743795,1.0005298147516613,-0.0010599102069936972,0.0027208030493756133
incidence_per_100k,high_frequency,hist_gradient_boosting,test,shallow,33580,0.04494116387463691,0.05993620459555716,1.0007615930397924,-0.0015237661035429895,-0.004323524180508401
