date,original,high_frequency,seasonal_subannual,subseasonal,trend,reconstructed_without_noise,residual
2017-11-08,0.0,0.010957015485884418,-0.003160992230976627,-0.004420281689348456,0.006371870147100414,0.00974761171265975,-0.00974761171265975
2017-11-09,0.0,-0.005962349364645783,-0.0006273871564501845,-0.014891937071057052,0.006377673125905671,-0.015104000466247349,0.015104000466247349
2017-11-10,0.0,-0.017054360831355767,0.000762405930021723,-0.018347741220176912,0.006383513190134822,-0.02825618293137613,0.02825618293137613
2017-11-11,0.0,-0.0030336997442883917,0.0029525811724429385,-0.012882846295523127,0.0063895319523083974,-0.006574432915060182,0.006574432915060182
2017-11-12,0.0,-0.015014388421490851,0.004772042331905151,-0.007342233559169336,0.0063952455598031656,-0.011189334088951869,0.011189334088951869
2017-11-13,0.0,-0.011248141588835931,0.006168079567424279,-0.0013542229942418293,0.006401059727245586,-3.322528840789436e-05,3.322528840789436e-05
2017-11-14,0.0,0.06164694654798545,0.008208994566795089,0.002997960922303775,0.0064069336930954145,0.07926083573017972,-0.07926083573017972
2017-11-15,0.0,-0.009393105400839024,0.008728012461562702,0.0005595815425030477,0.006412160972908814,0.0063066495761355396,-0.0063066495761355396
2017-11-16,0.0,-0.016458153892684013,0.010163817661039826,0.004831723652348457,0.006418226647444379,0.004955614068148649,-0.004955614068148649
2017-11-17,0.0,-0.038320535825200626,0.010239407471592717,0.016683012382021845,0.0064244473921382,-0.004973668579447865,0.004973668579447865
2017-11-18,0.0,0.029024911096973464,0.010464297005965895,0.02201310031477304,0.006430567899054618,0.06793287631676702,-0.06793287631676702
2017-11-19,0.0,0.04100268791176155,0.01034540325150358,0.018455288890347806,0.006436551612787032,0.07623993166639996,-0.07623993166639996
2017-11-20,0.0,-0.031690467697248814,0.009258103497508458,-3.772579950348269e-05,0.006442803239892498,-0.01602728675935134,0.01602728675935134
2017-11-21,0.0,0.006277960591068562,0.00891652718408935,-0.01369061341202466,0.006449149649661026,0.007953024012794279,-0.007953024012794279
2017-11-22,0.0,0.009795595849589325,0.007004137034825119,-0.011252245575477247,0.006454892771800884,0.01200238008073808,-0.01200238008073808
2017-11-23,0.0,-0.0012282639155069411,0.0059744967786027475,-0.01029382385839417,0.006460798006456177,0.0009132070111578126,-0.0009132070111578126
2017-11-24,0.0,-0.03472415672748429,0.00399824773390686,-0.0029374722071036675,0.006475656801536369,-0.027187724399144728,0.027187724399144728
2017-11-25,0.0,-0.006991576183353384,0.0020590322140074903,0.010037299084478387,0.006490844969823994,0.011595600084956487,-0.011595600084956487
2017-11-26,0.0,0.033931802020008325,0.0004452527072527629,0.011104156001980486,0.006506313069271107,0.05198752379851269,-0.05198752379851269
2017-11-27,0.0,0.011108467764543132,-0.002138641450075031,0.0029854896290903406,0.006521229124213051,0.018476545067771494,-0.018476545067771494
2017-11-28,0.0,-0.009905262300156576,-0.0035065581790877784,-0.004186347343760986,0.006536237100037799,-0.011061930722967541,0.011061930722967541
2017-11-29,0.0,-0.019126211793535287,-0.005858452605282977,-0.008193867134419205,0.006551689005415341,-0.026626842527822124,0.026626842527822124
2017-11-30,0.0,0.03704364395585558,-0.007093232577703409,-0.005740201117054221,0.00656703382709459,0.030777244088192542,-0.030777244088192542
2017-12-01,0.0,-0.04400019892789852,-0.008483776865424945,-0.0012603576300921984,0.006581998054037929,-0.047162335369377736,0.047162335369377736
2017-12-02,0.0,-0.009591065392471532,-0.009771449503240697,0.002159643747419224,0.006597063693556254,-0.010605807454736754,0.010605807454736754
2017-12-03,0.0,0.052726904483482016,-0.009984567134015531,0.006681532292204151,0.006612113121183153,0.05603598276285379,-0.05603598276285379
2017-12-04,0.0,-0.006700533153576343,-0.01100789225563124,-0.0018111469404532203,0.006626589273214567,-0.012892983076446238,0.012892983076446238
2017-12-05,0.0,-0.03558232570111608,-0.010462062276206927,-0.01400054447626946,0.006641443747224056,-0.05340348870636841,0.05340348870636841
2017-12-06,0.0,0.012736862754815271,-0.010536749069052342,-0.0234733971240925,0.006656649642822538,-0.014616633795507032,0.014616633795507032
2017-12-07,0.0,-0.016693064049911943,-0.009616260072651761,-0.021034661111649436,0.006671796362152362,-0.040672188872060776,0.040672188872060776
2017-12-08,0.0,0.002299025043870086,-0.00831740114290485,-0.009195331456948147,0.006687015875552604,-0.008526691680430307,0.008526691680430307
2017-12-09,0.0,0.004677228915855889,-0.007271569789441594,0.005931403335583606,0.006702260295201742,0.010039322757199643,-0.010039322757199643
2017-12-10,0.0,0.035224517605812466,-0.005004247973746228,0.0199794762412525,0.006717277126033663,0.056917022999352404,-0.056917022999352404
2017-12-11,0.0,-0.015474328773489454,-0.0037518464160610594,0.02290803489000188,0.006741801770327328,0.010423661470778695,-0.010423661470778695
2017-12-12,0.0,-0.014647966654403124,-0.0012347979348712808,0.010598694839867206,0.006766199938920877,0.001482130189513679,-0.001482130189513679
2017-12-13,0.0,-0.00594101479658338,0.0005312029653905348,-0.004151848261817784,0.006789977548425037,-0.002771682544585593,0.002771682544585593
2017-12-14,0.0,-0.0009030197341746164,0.0024856432478096635,-0.014913969852829764,0.006813613934839108,-0.006517732404355609,0.006517732404355609
2017-12-15,0.0,0.018378086128478858,0.00481047748352542,-0.01637669016669487,0.006837613872864,0.013649487318173406,-0.013649487318173406
2017-12-16,0.0,-0.027379755737698304,0.006082225023961,0.00470655205558739,0.006861396276995797,-0.00972958238115412,0.00972958238115412
2017-12-17,0.0,0.030483959637589576,0.00833803332473769,0.02617557498895707,0.0068852036626325264,0.07188277161391686,-0.07188277161391686
2017-12-18,0.0,0.01596242098113383,0.009064203141514182,0.02933005401689206,0.006908893517069522,0.06126557165660959,-0.06126557165660959
2017-12-19,0.0,-0.021594773973384156,0.010449461744873541,0.026126142415146297,0.00693324197147008,0.021914072158105764,-0.021914072158105764
2017-12-20,0.0,-0.02277486632288592,0.010976461493638427,0.011412405289889153,0.006957392999940181,0.00657139346058184,-0.00657139346058184
2017-12-21,0.0,0.010553501285005202,0.010958489917828416,0.00013612956345000152,0.006981418405505893,0.028629539171789512,-0.028629539171789512
2017-12-22,0.0,0.04273859262562033,0.011184419845397265,-0.003323474835659636,0.0070045926566403155,0.057604130291998276,-0.057604130291998276
2017-12-23,0.0,-0.009254844599835822,0.00990669522091533,-0.008063262954199582,0.007027286683831151,-0.0003841256492889229,0.0003841256492889229
2017-12-24,0.0,0.0024451760506308696,0.009576051043292774,-0.010151590617557953,0.0070504819944883276,0.008920118470854018,-0.008920118470854018
2017-12-25,0.0,-0.023683493961096636,0.007816170734362263,-0.015691148758768106,0.007073375614545857,-0.024485096370956617,0.024485096370956617
2017-12-26,0.0,-0.015255135774338643,0.006464850936552051,-0.028195984440533804,0.00709613938997544,-0.029890129888344955,0.029890129888344955
2017-12-27,0.0,-0.016996823976480835,0.004762975024026846,-0.029056969056459974,0.007119401428326416,-0.034171416580587546,0.034171416580587546
2017-12-28,0.0,0.02808866150406661,0.0024444993971563483,-0.017830818420976367,0.00714262538807708,0.01984496786832367,-0.01984496786832367
2017-12-29,0.0,0.02521083577099653,0.0008821853729723446,-0.0033157820527690476,0.0071653930216971405,0.02994263211289697,-0.02994263211289697
2017-12-30,0.0,-0.01496331132660247,-0.0019528159619978756,0.007563060533597396,0.007188781840830527,-0.002164284914172426,0.002164284914172426
2017-12-31,0.0,-0.017089870921950624,-0.0035107926940565947,0.010448326121765312,0.007212357106813326,-0.0029399803874285806,0.0029399803874285806
2018-01-01,0.0,-0.010331477884074796,-0.00577715723687709,0.012374231232420268,0.007235819806024332,0.003501415917492713,-0.003501415917492713
2018-01-02,0.0,0.017778607866508214,-0.007433321813119519,0.008226037559427126,0.007259278519819502,0.02583060213263532,-0.02583060213263532
2018-01-03,0.0,0.0040607468796315,-0.00862666783505851,0.002481539484932918,0.007282337588841543,0.005197956118347452,-0.005197956118347452
2018-01-04,0.0,0.031140897510126667,-0.01028381831213485,0.003155867380731624,0.007305262390560206,0.03131820896928365,-0.03131820896928365
2018-01-05,0.0,-0.031106588418773527,-0.010473268254788563,0.006283988780657392,0.007328248076934336,-0.027967619815970367,0.027967619815970367
2018-01-06,0.0,-0.00826631754463413,-0.011504909330221793,0.012367980588183128,0.007351395632203806,-5.1850654468989406e-05,5.1850654468989406e-05
2018-01-07,0.0,-0.011133282425696518,-0.01117767077248577,0.010520270532648899,0.007374377531048497,-0.004416305134484892,0.004416305134484892
2018-01-08,0.0,-0.011857979890940042,-0.010996168319658798,-0.0010766748461997536,0.007397420686622385,-0.016533402370176208,0.016533402370176208
2018-01-09,0.0,0.03361628447627815,-0.01033495039956098,-0.006774716066519354,0.0074206699175821,0.023927287927779914,-0.023927287927779914
2018-01-10,0.0,0.01918919156496867,-0.008745377576641565,-0.01723204636350641,0.00744314798191956,0.000654915606740256,-0.000654915606740256
