variable,assigned_band,mean_band_trajectory_energy_fraction,median_band_trajectory_energy_fraction,min_band_trajectory_energy_fraction,max_band_trajectory_energy_fraction,mean_n_components
nw_wind,seasonal_subannual,0.04128416408517051,0.03937650378441248,0.0293785964300135,0.06945325450317634,41.04347826086956
nw_wind,semiannual,0.009277212803649045,0.008895740515609088,0.0006098890004645668,0.02715850974621386,5.586956521739131
nw_wind,subseasonal,0.13516218289089665,0.1324320894396651,0.07177341428925059,0.2749163704571089,145.41304347826087
nw_wind,trend,0.08430067201004429,0.0892889589816597,0.0026521130211206705,0.16905319174015404,1.0256410256410255
rh,annual,0.003532833941350117,0.0028408726605866274,0.0007853027005212374,0.010752561905162248,3.1739130434782608
rh,high_frequency,0.0021057905813943747,0.0020658159665202184,0.0010204608292307413,0.0030811903596885295,170.7608695652174
rh,interannual,0.04294835706355104,0.0001543537139933674,2.759122645247235e-05,0.9878630633357948,6.456521739130435
rh,seasonal_subannual,0.0013756369656795244,0.0015453803271517083,0.0005875222496618172,0.0028200602993071733,56.23913043478261
rh,semiannual,0.0005495480263366853,0.0005814481684567204,6.099142484496929e-05,0.0010145253666404177,7.326086956521739
rh,subseasonal,0.002593171821091158,0.0025778683728512226,0.0011375335585851066,0.004817148222314981,154.97826086956522
rh,trend,0.9836714397525047,0.9832852006132269,0.9719055887581306,0.9909645143668848,1.1136363636363635
t2m,annual,0.33476040993278217,0.24854855042101048,0.028231431898428666,0.9637637441250666,6.0
t2m,high_frequency,0.0019666068425658566,0.001669052485556101,0.00040158327571997,0.004211831854855928,81.32608695652173
t2m,interannual,0.00037597639794304747,0.0003399719280218709,0.00015447212605489198,0.001161544611114663,5.195652173913044
t2m,seasonal_subannual,0.0043476562981056895,0.0038203748881699704,0.000655176458623548,0.010116687895054065,73.82608695652173
t2m,semiannual,0.0022949397418879558,0.0021612605122600503,0.0003607337793361095,0.005034796664749681,12.869565217391305
t2m,subseasonal,0.00853461720791565,0.007911656494388276,0.0018190256386852507,0.016467437799782676,218.7173913043478
t2m,trend,0.6530435503287819,0.7337634680045161,4.1240969042160606e-05,0.9667893940417864,2.111111111111111
t2m_std_anom,annual,0.06941559219677104,0.06209020447259411,0.022645553606424347,0.12663344821525455,5.3478260869565215
t2m_std_anom,high_frequency,0.0020473595925406566,0.0022673430978810273,0.0004811587651971393,0.0033874682080931107,4.4
t2m_std_anom,interannual,0.037682802954602364,0.038000190087154544,0.013151409986306933,0.06155094577311704,7.760869565217392
t2m_std_anom,seasonal_subannual,0.3007690413657208,0.30052077564273555,0.24600757622979294,0.3428424162199212,102.41304347826087
t2m_std_anom,semiannual,0.06407830961844256,0.06321520947287071,0.039179365310507974,0.13758628202550469,14.695652173913043
t2m_std_anom,subseasonal,0.42414969027377225,0.4300345961876749,0.3690450586715281,0.45614415320449886,267.5652173913044
t2m_std_anom,trend,0.02247826667543925,0.022798792013173433,0.007103938579912529,0.055408428143695676,1.7777777777777777
tp,annual,0.02629880263912797,0.024518144289917852,0.003812019816585569,0.056699422286774596,2.4130434782608696
tp,high_frequency,0.13395448552848807,0.13464598050380233,0.09631365091036373,0.16420155150605537,169.47826086956522
tp,interannual,0.0033515637800618967,0.002878989755000993,0.0005074999538062585,0.008990944138077286,3.388888888888889
tp,seasonal_subannual,0.06459528760398056,0.060480184035230276,0.0372212563302263,0.12280064107500674,50.95652173913044
tp,semiannual,0.008358170464925206,0.006666133086793199,0.0020908623348488116,0.027536298103149667,6.673913043478261
tp,subseasonal,0.16467375991870625,0.16452010625090785,0.12458491396234835,0.20544178705779517,166.69565217391303
tp,trend,0.2579680996248158,0.23381196183643224,0.17789869634954114,0.4355801477198997,1.1304347826086956
w2c_event,annual,0.002318116824122931,0.002322740602889925,0.0007450909784156992,0.004730036069219185,2.1923076923076925
w2c_event,high_frequency,0.2976291521169116,0.2981417106912583,0.27758896902618946,0.32079841935105496,288.69565217391306
w2c_event,interannual,0.0026788651395077776,0.0017505941130266764,0.0006938970922545681,0.010005402906133255,1.8666666666666667
w2c_event,seasonal_subannual,0.01799066178003522,0.017583091138441767,0.005929574379425958,0.02987439388706918,18.130434782608695
w2c_event,semiannual,0.0028244939443212605,0.0025519381241720504,0.0006773756858019114,0.005935935298134298,2.892857142857143
w2c_event,subseasonal,0.09294888408914524,0.09415011162270762,0.07138407971506448,0.11589020660628546,88.58695652173913
