rank,period_days,frequency_cycles_per_day,power,prefecture_code,variable,component
1,341.3333333333333,0.0029296875,219.3003909848588,JP-01,cases,reconstructed_signal
2,6.989761092150171,0.14306640625,26.573641137844042,JP-01,cases,reconstructed_signal
3,186.1818181818182,0.00537109375,17.861361607200376,JP-01,cases,reconstructed_signal
4,120.47058823529412,0.00830078125,11.756573556712654,JP-01,cases,reconstructed_signal
5,3.500854700854701,0.28564453125,7.737227443876291,JP-01,cases,reconstructed_signal
1,2.295964125560538,0.435546875,17.1424885326777,JP-01,cases,reconstruction_residual
2,2.011787819253438,0.4970703125,16.76378583358316,JP-01,cases,reconstruction_residual
3,2.7601078167115904,0.3623046875,14.952859869624728,JP-01,cases,reconstruction_residual
4,6.059171597633136,0.1650390625,14.64915535013084,JP-01,cases,reconstruction_residual
5,3.2456418383518226,0.30810546875,13.136418105721836,JP-01,cases,reconstruction_residual
1,341.3333333333333,0.0029296875,172.7651385134983,JP-01,incidence_per_100k,original
2,6.989761092150171,0.14306640625,20.841107134980863,JP-01,incidence_per_100k,original
3,186.1818181818182,0.00537109375,14.026578393791969,JP-01,incidence_per_100k,original
4,120.47058823529412,0.00830078125,9.388330889042356,JP-01,incidence_per_100k,original
5,3.500854700854701,0.28564453125,6.068280166295718,JP-01,incidence_per_100k,original
1,341.3333333333333,0.0029296875,1022.3874621255896,JP-01,incidence_per_100k,annual
1,186.1818181818182,0.00537109375,958.2488227820992,JP-01,incidence_per_100k,semiannual
1,120.47058823529412,0.00830078125,247.316578469454,JP-01,incidence_per_100k,seasonal_subannual
2,93.0909090909091,0.0107421875,146.72647261875022,JP-01,incidence_per_100k,seasonal_subannual
3,73.14285714285714,0.013671875,123.35781811952941,JP-01,incidence_per_100k,seasonal_subannual
4,45.51111111111111,0.02197265625,69.00554848196748,JP-01,incidence_per_100k,seasonal_subannual
5,102.4,0.009765625,54.81685325568331,JP-01,incidence_per_100k,seasonal_subannual
1,10.835978835978835,0.09228515625,43.25086624916996,JP-01,incidence_per_100k,subseasonal
2,13.38562091503268,0.07470703125,35.944403469460624,JP-01,incidence_per_100k,subseasonal
3,17.655172413793103,0.056640625,32.799388658793376,JP-01,incidence_per_100k,subseasonal
4,10.343434343434344,0.0966796875,31.68881943363023,JP-01,incidence_per_100k,subseasonal
5,12.880503144654089,0.07763671875,25.743592723737436,JP-01,incidence_per_100k,subseasonal
1,6.989761092150171,0.14306640625,79.620487877132,JP-01,incidence_per_100k,high_frequency
2,3.500854700854701,0.28564453125,23.346118574545144,JP-01,incidence_per_100k,high_frequency
3,2.5825977301387137,0.38720703125,17.7815011675137,JP-01,incidence_per_100k,high_frequency
4,2.109165808444902,0.47412109375,13.955775465503919,JP-01,incidence_per_100k,high_frequency
5,3.0251107828655837,0.33056640625,11.252627446557213,JP-01,incidence_per_100k,high_frequency
1,2.295964125560538,0.435546875,13.296691829060318,JP-01,incidence_per_100k,noise
2,2.011787819253438,0.4970703125,12.814598787013779,JP-01,incidence_per_100k,noise
3,2.7601078167115904,0.3623046875,11.893889817647374,JP-01,incidence_per_100k,noise
4,3.878787878787879,0.2578125,11.038729292349526,JP-01,incidence_per_100k,noise
5,6.059171597633136,0.1650390625,10.791947887245659,JP-01,incidence_per_100k,noise
1,341.3333333333333,0.0029296875,224.51293830570853,JP-01,incidence_per_100k,reconstructed_signal
2,6.989761092150171,0.14306640625,27.064751553477553,JP-01,incidence_per_100k,reconstructed_signal
3,186.1818181818182,0.00537109375,18.221651722135768,JP-01,incidence_per_100k,reconstructed_signal
4,120.47058823529412,0.00830078125,12.194592151124086,JP-01,incidence_per_100k,reconstructed_signal
5,3.500854700854701,0.28564453125,7.85304906607757,JP-01,incidence_per_100k,reconstructed_signal
1,2.295964125560538,0.435546875,13.296691829060306,JP-01,incidence_per_100k,reconstruction_residual
2,2.011787819253438,0.4970703125,12.814598787013727,JP-01,incidence_per_100k,reconstruction_residual
3,2.7601078167115904,0.3623046875,11.893889817647313,JP-01,incidence_per_100k,reconstruction_residual
4,3.878787878787879,0.2578125,11.038729292349519,JP-01,incidence_per_100k,reconstruction_residual
5,6.059171597633136,0.1650390625,10.791947887245652,JP-01,incidence_per_100k,reconstruction_residual
1,341.3333333333333,0.0029296875,258.4164126898524,JP-01,nw_wind,original
2,49.951219512195124,0.02001953125,8.951056642920474,JP-01,nw_wind,original
3,6.671009771986971,0.14990234375,6.2277800743969625,JP-01,nw_wind,original
1,1024.0,0.0009765625,525.6904158968234,JP-01,nw_wind,trend
1,341.3333333333333,0.0029296875,1049.1066420478228,JP-01,nw_wind,annual
1,157.53846153846155,0.00634765625,626.1589898545253,JP-01,nw_wind,semiannual
2,128.0,0.0078125,155.52265420538797,JP-01,nw_wind,semiannual
1,49.951219512195124,0.02001953125,276.6976914353302,JP-01,nw_wind,seasonal_subannual
2,47.627906976744185,0.02099609375,167.20077946635766,JP-01,nw_wind,seasonal_subannual
3,45.51111111111111,0.02197265625,75.45839518929283,JP-01,nw_wind,seasonal_subannual
4,39.38461538461539,0.025390625,66.26036754048606,JP-01,nw_wind,seasonal_subannual
5,56.888888888888886,0.017578125,50.342256404306106,JP-01,nw_wind,seasonal_subannual
1,12.487804878048781,0.080078125,25.459501205974263,JP-01,nw_wind,subseasonal
2,11.906976744186046,0.083984375,22.743026117393168,JP-01,nw_wind,subseasonal
3,14.124137931034483,0.07080078125,22.554648082912976,JP-01,nw_wind,subseasonal
4,12.19047619047619,0.08203125,19.764012775891494,JP-01,nw_wind,subseasonal
5,18.123893805309734,0.05517578125,19.61595833375751,JP-01,nw_wind,subseasonal
1,6.671009771986971,0.14990234375,21.264459125774604,JP-01,nw_wind,high_frequency
2,4.946859903381642,0.2021484375,17.150556082700145,JP-01,nw_wind,high_frequency
3,3.9613152804642167,0.25244140625,13.736514266178203,JP-01,nw_wind,high_frequency
4,3.8496240601503757,0.259765625,12.181071550698839,JP-01,nw_wind,high_frequency
5,4.58165548098434,0.21826171875,11.812716654550787,JP-01,nw_wind,high_frequency
1,2.443914081145585,0.4091796875,16.41684013787339,JP-01,nw_wind,noise
2,2.3676300578034684,0.42236328125,15.50750515050495,JP-01,nw_wind,noise
3,2.169491525423729,0.4609375,15.215513858058056,JP-01,nw_wind,noise
4,2.4150943396226414,0.4140625,15.191928956292571,JP-01,nw_wind,noise
5,2.178723404255319,0.458984375,14.364450311590955,JP-01,nw_wind,noise
1,341.3333333333333,0.0029296875,286.9320155165,JP-01,nw_wind,reconstructed_signal
2,49.951219512195124,0.02001953125,9.93819927299856,JP-01,nw_wind,reconstructed_signal
3,6.671009771986971,0.14990234375,6.914142186688551,JP-01,nw_wind,reconstructed_signal
1,2.443914081145585,0.4091796875,16.416840137873407,JP-01,nw_wind,reconstruction_residual
2,2.3676300578034684,0.42236328125,15.507505150504983,JP-01,nw_wind,reconstruction_residual
3,2.169491525423729,0.4609375,15.215513858058047,JP-01,nw_wind,reconstruction_residual
4,2.4150943396226414,0.4140625,15.191928956292568,JP-01,nw_wind,reconstruction_residual
5,2.178723404255319,0.458984375,14.364450311590963,JP-01,nw_wind,reconstruction_residual
1,341.3333333333333,0.0029296875,237.1050322400073,JP-01,rh,original
2,186.1818181818182,0.00537109375,73.47334608946855,JP-01,rh,original
3,93.0909090909091,0.0107421875,9.937563633759986,JP-01,rh,original
4,73.14285714285714,0.013671875,8.966212979605071,JP-01,rh,original
5,51.2,0.01953125,8.120568396885176,JP-01,rh,original
1,341.3333333333333,0.0029296875,1087.8854916447967,JP-01,rh,annual
1,186.1818181818182,0.00537109375,1098.2363391025706,JP-01,rh,semiannual
1,93.0909090909091,0.0107421875,113.90657745131372,JP-01,rh,seasonal_subannual
2,73.14285714285714,0.013671875,104.29354529699665,JP-01,rh,seasonal_subannual
3,51.2,0.01953125,93.23440830303535,JP-01,rh,seasonal_subannual
4,128.0,0.0078125,81.13431964998829,JP-01,rh,seasonal_subannual
5,46.54545454545455,0.021484375,69.09786045828821,JP-01,rh,seasonal_subannual
1,28.054794520547944,0.03564453125,35.895300622248214,JP-01,rh,subseasonal
2,17.655172413793103,0.056640625,28.905332220168138,JP-01,rh,subseasonal
3,22.755555555555556,0.0439453125,26.47738642753556,JP-01,rh,subseasonal
4,12.641975308641975,0.0791015625,25.235865800843523,JP-01,rh,subseasonal
5,20.68686868686869,0.04833984375,23.189387412816018,JP-01,rh,subseasonal
1,5.953488372093023,0.16796875,16.015805303610968,JP-01,rh,high_frequency
2,5.752808988764045,0.173828125,15.324187577710195,JP-01,rh,high_frequency
3,5.91907514450867,0.1689453125,13.413383435200611,JP-01,rh,high_frequency
4,3.1124620060790273,0.3212890625,13.389950693267195,JP-01,rh,high_frequency
5,5.132832080200501,0.19482421875,13.264610727972169,JP-01,rh,high_frequency
1,2.525277435265105,0.39599609375,16.119581054001955,JP-01,rh,noise
2,2.003913894324853,0.4990234375,14.785347340727593,JP-01,rh,noise
3,2.5067319461444306,0.39892578125,14.383169256820622,JP-01,rh,noise
4,2.5761006289308175,0.38818359375,13.9976703003479,JP-01,rh,noise
5,2.12008281573499,0.4716796875,13.449792104816083,JP-01,rh,noise
1,341.3333333333333,0.0029296875,268.53177997640057,JP-01,rh,reconstructed_signal
2,186.1818181818182,0.00537109375,83.21157575880207,JP-01,rh,reconstructed_signal
3,93.0909090909091,0.0107421875,11.254020996103382,JP-01,rh,reconstructed_signal
4,73.14285714285714,0.013671875,10.154200697711058,JP-01,rh,reconstructed_signal
5,51.2,0.01953125,9.196243211407118,JP-01,rh,reconstructed_signal
1,2.525277435265105,0.39599609375,16.11958105400193,JP-01,rh,reconstruction_residual
2,2.003913894324853,0.4990234375,14.785347340727585,JP-01,rh,reconstruction_residual
3,2.5067319461444306,0.39892578125,14.383169256820699,JP-01,rh,reconstruction_residual
4,2.5761006289308175,0.38818359375,13.99767030034794,JP-01,rh,reconstruction_residual
5,2.12008281573499,0.4716796875,13.449792104816146,JP-01,rh,reconstruction_residual
1,341.3333333333333,0.0029296875,1041.9958376352838,JP-01,t2m,original
1,341.3333333333333,0.0029296875,1003.6303900944674,JP-01,t2m,annual
1,341.3333333333333,0.0029296875,852.9771097496638,JP-01,t2m,noise
2,186.1818181818182,0.00537109375,21.44572705349584,JP-01,t2m,noise
1,341.3333333333333,0.0029296875,1003.6303900944674,JP-01,t2m,reconstructed_signal
1,341.3333333333333,0.0029296875,852.9771097496638,JP-01,t2m,reconstruction_residual
2,186.1818181818182,0.00537109375,21.44572705349588,JP-01,t2m,reconstruction_residual
1,341.3333333333333,0.0029296875,74.54945163502201,JP-01,t2m_std_anom,original
2,146.28571428571428,0.0068359375,37.96406669520178,JP-01,t2m_std_anom,original
3,204.8,0.0048828125,33.17502150315726,JP-01,t2m_std_anom,original
4,64.0,0.015625,30.12915047264901,JP-01,t2m_std_anom,original
5,44.52173913043478,0.0224609375,29.62474674889786,JP-01,t2m_std_anom,original
1,341.3333333333333,0.0029296875,728.396309935346,JP-01,t2m_std_anom,annual
1,157.53846153846155,0.00634765625,601.8630862053183,JP-01,t2m_std_anom,semiannual
2,204.8,0.0048828125,293.0645735723982,JP-01,t2m_std_anom,semiannual
1,44.52173913043478,0.0224609375,108.32047570599192,JP-01,t2m_std_anom,seasonal_subannual
2,64.0,0.015625,107.27120321812825,JP-01,t2m_std_anom,seasonal_subannual
3,97.52380952380952,0.01025390625,70.79640337438292,JP-01,t2m_std_anom,seasonal_subannual
4,47.627906976744185,0.02099609375,66.09408989076945,JP-01,t2m_std_anom,seasonal_subannual
5,37.925925925925924,0.0263671875,54.168915444546656,JP-01,t2m_std_anom,seasonal_subannual
1,24.094117647058823,0.04150390625,51.588862743577394,JP-01,t2m_std_anom,subseasonal
2,17.35593220338983,0.0576171875,38.77904100867326,JP-01,t2m_std_anom,subseasonal
3,20.277227722772277,0.04931640625,35.64637815731691,JP-01,t2m_std_anom,subseasonal
4,15.633587786259541,0.06396484375,33.966820801213515,JP-01,t2m_std_anom,subseasonal
5,16.516129032258064,0.060546875,29.91189708463742,JP-01,t2m_std_anom,subseasonal
1,8.325203252032521,0.1201171875,41.99124427878559,JP-01,t2m_std_anom,noise
2,9.351598173515981,0.10693359375,41.862674539646946,JP-01,t2m_std_anom,noise
3,9.615023474178404,0.10400390625,36.64587055919695,JP-01,t2m_std_anom,noise
4,7.728301886792453,0.12939453125,36.209884199715994,JP-01,t2m_std_anom,noise
5,9.846153846153847,0.1015625,33.97494727231883,JP-01,t2m_std_anom,noise
1,341.3333333333333,0.0029296875,81.3484951953018,JP-01,t2m_std_anom,reconstructed_signal
2,146.28571428571428,0.0068359375,41.41923333176432,JP-01,t2m_std_anom,reconstructed_signal
3,204.8,0.0048828125,36.1824563634536,JP-01,t2m_std_anom,reconstructed_signal
4,64.0,0.015625,32.868939480704135,JP-01,t2m_std_anom,reconstructed_signal
5,44.52173913043478,0.0224609375,32.31190673896199,JP-01,t2m_std_anom,reconstructed_signal
1,8.325203252032521,0.1201171875,41.99124427878556,JP-01,t2m_std_anom,reconstruction_residual
2,9.351598173515981,0.10693359375,41.86267453964693,JP-01,t2m_std_anom,reconstruction_residual
3,9.615023474178404,0.10400390625,36.645870559196965,JP-01,t2m_std_anom,reconstruction_residual
4,7.728301886792453,0.12939453125,36.20988419971597,JP-01,t2m_std_anom,reconstruction_residual
5,9.846153846153847,0.1015625,33.97494727231879,JP-01,t2m_std_anom,reconstruction_residual
1,341.3333333333333,0.0029296875,36.52188692348162,JP-01,tp,original
2,42.666666666666664,0.0234375,10.055466418033225,JP-01,tp,original
3,128.0,0.0078125,9.98531537648053,JP-01,tp,original
4,10.03921568627451,0.099609375,8.995803181915875,JP-01,tp,original
5,14.222222222222221,0.0703125,8.954907990922802,JP-01,tp,original
1,341.3333333333333,0.0029296875,1002.5973720047632,JP-01,tp,annual
1,42.666666666666664,0.0234375,137.56937273666105,JP-01,tp,seasonal_subannual
2,128.0,0.0078125,106.63298037029385,JP-01,tp,seasonal_subannual
3,66.06451612903226,0.01513671875,83.1496055572659,JP-01,tp,seasonal_subannual
4,55.351351351351354,0.01806640625,68.78422380101418,JP-01,tp,seasonal_subannual
5,170.66666666666666,0.005859375,60.5379133632959,JP-01,tp,seasonal_subannual
1,10.03921568627451,0.099609375,30.596033676205433,JP-01,tp,subseasonal
2,16.925619834710744,0.05908203125,28.936930341172168,JP-01,tp,subseasonal
3,14.222222222222221,0.0703125,28.173957490824332,JP-01,tp,subseasonal
4,26.5974025974026,0.03759765625,27.08950307441483,JP-01,tp,subseasonal
5,20.897959183673468,0.0478515625,23.67987888557318,JP-01,tp,subseasonal
1,5.184810126582279,0.19287109375,19.82083736651181,JP-01,tp,high_frequency
2,5.1457286432160805,0.1943359375,13.951122654324543,JP-01,tp,high_frequency
3,5.291989664082688,0.18896484375,13.89558970744054,JP-01,tp,high_frequency
4,4.3760683760683765,0.228515625,12.856033264540168,JP-01,tp,high_frequency
5,4.266666666666667,0.234375,10.928597868908994,JP-01,tp,high_frequency
1,2.2579933847850056,0.44287109375,21.73533005352435,JP-01,tp,noise
2,2.435196195005945,0.41064453125,20.82098503501326,JP-01,tp,noise
3,2.270509977827051,0.4404296875,19.662523534426267,JP-01,tp,noise
4,2.122279792746114,0.47119140625,19.365526239120403,JP-01,tp,noise
5,2.2857142857142856,0.4375,19.28903919698665,JP-01,tp,noise
1,341.3333333333333,0.0029296875,39.03216598659757,JP-01,tp,reconstructed_signal
2,42.666666666666664,0.0234375,10.746466187952135,JP-01,tp,reconstructed_signal
3,128.0,0.0078125,10.671304224954834,JP-01,tp,reconstructed_signal
4,10.03921568627451,0.099609375,9.613611210563937,JP-01,tp,reconstructed_signal
5,14.222222222222221,0.0703125,9.57012794721185,JP-01,tp,reconstructed_signal
1,2.2579933847850056,0.44287109375,21.735330053524365,JP-01,tp,reconstruction_residual
2,2.435196195005945,0.41064453125,20.820985035013283,JP-01,tp,reconstruction_residual
3,2.270509977827051,0.4404296875,19.662523534426306,JP-01,tp,reconstruction_residual
4,2.122279792746114,0.47119140625,19.365526239120413,JP-01,tp,reconstruction_residual
5,2.2857142857142856,0.4375,19.289039196986643,JP-01,tp,reconstruction_residual
1,2.153522607781283,0.46435546875,6.666866412056178,JP-01,w2c_event,original
2,2.7713125845737485,0.36083984375,6.284288092138828,JP-01,w2c_event,original
3,4.302521008403361,0.232421875,6.269913954873319,JP-01,w2c_event,original
4,2.409411764705882,0.4150390625,6.059327782437592,JP-01,w2c_event,original
5,11.976608187134502,0.08349609375,5.960329402679856,JP-01,w2c_event,original
1,227.55555555555554,0.00439453125,453.65569362822396,JP-01,w2c_event,semiannual
2,170.66666666666666,0.005859375,212.16066871302598,JP-01,w2c_event,semiannual
3,97.52380952380952,0.01025390625,19.65832194909045,JP-01,w2c_event,semiannual
1,60.23529411764706,0.0166015625,132.70405418413475,JP-01,w2c_event,seasonal_subannual
2,68.26666666666667,0.0146484375,75.14970557183457,JP-01,w2c_event,seasonal_subannual
3,44.52173913043478,0.0224609375,72.61376875429512,JP-01,w2c_event,seasonal_subannual
4,37.236363636363635,0.02685546875,57.273064499913104,JP-01,w2c_event,seasonal_subannual
5,55.351351351351354,0.01806640625,48.50748839756965,JP-01,w2c_event,seasonal_subannual
1,20.277227722772277,0.04931640625,27.463398435776757,JP-01,w2c_event,subseasonal
2,12.641975308641975,0.0791015625,23.78726566351836,JP-01,w2c_event,subseasonal
