variable,component,mean_period_days,median_period_days,min_period_days,max_period_days,n_series
c2w_transition_intensity,reconstructed_signal,21.203146048266,3.4307264074705937,2.05005005005005,341.3333333333333,46
c2w_transition_intensity,reconstruction_residual,20.61152831659591,5.008412807557775,2.0019550342130987,512.0,46
c2w_transition_intensity,seasonal_subannual,71.91547211006194,62.06060606060606,33.03225806451613,136.53333333333333,46
c2w_transition_intensity,semiannual,194.81902788569457,186.1818181818182,31.50769230769231,341.3333333333333,45
c2w_transition_intensity,subseasonal,12.862153990600659,14.473678953151534,7.062068965517241,24.094117647058823,46
c2w_transition_intensity,trend,1024.0,1024.0,1024.0,1024.0,23
cases,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
cases,high_frequency,4.1117413484180085,3.4626831541095697,2.0019550342130987,7.013698630136986,46
cases,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
cases,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
cases,reconstruction_residual,247.3540077969756,341.3333333333333,2.34324942791762,409.6,46
cases,seasonal_subannual,91.12594176478095,93.0909090909091,34.71186440677966,120.47058823529412,46
cases,semiannual,184.27226107226107,186.1818181818182,157.53846153846155,186.1818181818182,45
cases,subseasonal,10.93865045317384,9.741582681791476,6.989761092150171,20.277227722772277,46
cases,trend,682.6666666666666,682.6666666666666,682.6666666666666,682.6666666666666,1
incidence_per_100k,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
incidence_per_100k,high_frequency,4.1694770999704955,3.4978676234648933,2.0019550342130987,7.013698630136986,46
incidence_per_100k,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
incidence_per_100k,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
incidence_per_100k,reconstruction_residual,246.05760512099238,341.3333333333333,2.0019550342130987,341.3333333333333,46
incidence_per_100k,seasonal_subannual,91.47576700279816,93.0909090909091,30.567164179104477,120.47058823529412,46
incidence_per_100k,semiannual,184.96857731640338,186.1818181818182,146.28571428571428,227.55555555555551,46
incidence_per_100k,subseasonal,11.262964858518046,9.636263226490534,6.989761092150171,23.272727272727273,46
incidence_per_100k,trend,682.6666666666666,682.6666666666666,682.6666666666666,682.6666666666666,1
nw_wind,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
nw_wind,high_frequency,5.245328119585962,5.3194805194805195,3.1124620060790273,6.671009771986971,46
nw_wind,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
nw_wind,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
nw_wind,reconstruction_residual,302.4330292636399,341.3333333333333,2.4009378663540444,341.3333333333333,46
nw_wind,seasonal_subannual,82.77489691957734,89.04347826086956,45.51111111111111,120.47058823529412,46
nw_wind,semiannual,185.61425537425538,186.1818181818182,157.53846153846155,204.8,45
nw_wind,subseasonal,14.246294934111543,11.83815028901734,7.366906474820144,24.094117647058823,46
nw_wind,trend,884.3636363636364,1024.0,341.3333333333333,1024.0,22
rh,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
rh,high_frequency,4.8251898121220576,4.882064803554989,3.506849315068493,6.671009771986971,46
rh,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
rh,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
rh,reconstruction_residual,173.7092194066336,135.75757575757575,2.6841415465268676,409.6,46
rh,seasonal_subannual,101.04144557519405,120.47058823529412,73.14285714285714,120.47058823529412,46
rh,semiannual,185.5072463768116,186.1818181818182,170.66666666666666,186.1818181818182,46
rh,subseasonal,10.62484840454252,8.258064516129032,7.816793893129771,28.054794520547944,46
rh,trend,1024.0,1024.0,1024.0,1024.0,6
t2m,annual,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
t2m,high_frequency,5.298614774878489,5.43236074270557,4.19672131147541,6.69281045751634,46
t2m,noise,2.4146727673632378,2.377249785093144,2.048,3.4133333333333336,46
t2m,original,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
t2m,reconstructed_signal,341.3333333333333,341.3333333333333,341.3333333333333,341.3333333333333,46
