component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
126,122.96242563722917,122.96242563722917,5.5752660828829514e-05,0.9954732383711017,6.107023411371237,high_frequency,JP-13,ah
127,122.45335995617985,122.45335995617985,5.5291983256648705e-05,0.9955285303543583,10.088397790055248,subseasonal,JP-13,ah
128,121.83251988848255,121.83251988848255,5.473274244419126e-05,0.9955832630968025,10.088397790055248,subseasonal,JP-13,ah
129,121.78268447167675,121.78268447167675,5.4687974903164226e-05,0.9956379510717056,4.792650918635171,high_frequency,JP-13,ah
130,120.75577858717769,120.75577858717769,5.376957459803305e-05,0.9956917206463036,10.088397790055248,subseasonal,JP-13,ah
131,120.52443552785789,120.52443552785789,5.3563749211475495e-05,0.9957452843955151,5.840085287846482,high_frequency,JP-13,ah
132,120.13494422220339,120.13494422220339,5.3218111344443964e-05,0.9957985025068595,5.612704918032787,high_frequency,JP-13,ah
133,119.3530113109129,119.3530113109129,5.252759505999807e-05,0.9958510301019196,5.612704918032787,high_frequency,JP-13,ah
134,118.46041701642503,118.46041701642503,5.174486640019044e-05,0.9959027749683197,6.560479041916168,high_frequency,JP-13,ah
135,118.19396467914419,118.19396467914419,5.151234933122429e-05,0.9959542873176509,6.560479041916168,high_frequency,JP-13,ah
136,118.13045875108412,118.13045875108412,5.145700876100077e-05,0.9960057443264119,4.572621035058431,high_frequency,JP-13,ah
137,117.73246354833843,117.73246354833843,5.1110863597319575e-05,0.9960568551900092,4.788461538461538,high_frequency,JP-13,ah
138,116.8005453795733,116.8005453795733,5.030492397051643e-05,0.9961071601139797,4.834951456310679,high_frequency,JP-13,ah
139,114.7910483985116,114.7910483985116,4.8588870147045634e-05,0.9961557489841267,4.865008880994671,high_frequency,JP-13,ah
140,113.58383472687069,113.58383472687069,4.7572262811938205e-05,0.9962033212469387,4.865008880994671,high_frequency,JP-13,ah
141,113.35707685979881,113.35707685979881,4.7382506638480194e-05,0.9962507037535772,4.865008880994671,high_frequency,JP-13,ah
142,113.14545107010629,113.14545107010629,4.720575542635123e-05,0.9962979095090035,5.659090909090909,high_frequency,JP-13,ah
143,112.89794089878197,112.89794089878197,4.699945238898081e-05,0.9963449089613925,5.659090909090909,high_frequency,JP-13,ah
144,112.20242119228786,112.20242119228786,4.642214596672303e-05,0.9963913311073592,4.682051282051281,high_frequency,JP-13,ah
145,111.95404417310455,111.95404417310455,4.62168485729052e-05,0.9964375479559321,4.899821109123434,high_frequency,JP-13,ah
146,107.91126985589116,107.91126985589116,4.293924085068448e-05,0.9964804871967827,4.428455941794664,high_frequency,JP-13,ah
147,107.52347694091596,107.52347694091596,4.263118009495886e-05,0.9965231183768777,4.428455941794664,high_frequency,JP-13,ah
148,107.09202751934326,107.09202751934326,4.228974218426939e-05,0.9965654081190619,5.544534412955466,high_frequency,JP-13,ah
149,106.97389784028456,106.97389784028456,4.219649680445858e-05,0.9966076046158664,5.544534412955466,high_frequency,JP-13,ah
150,105.69316948129,105.69316948129,4.119216313103134e-05,0.9966487967789974,5.544534412955466,high_frequency,JP-13,ah
151,105.36584054506804,105.36584054506804,4.093741614673759e-05,0.9966897341951442,4.33729216152019,high_frequency,JP-13,ah
152,105.34346268246439,105.34346268246439,4.092002921017083e-05,0.9967306542243544,4.33729216152019,high_frequency,JP-13,ah
153,104.83691379945256,104.83691379945256,4.0527443684613904e-05,0.996771181668039,4.33729216152019,high_frequency,JP-13,ah
154,104.06246636957435,104.06246636957435,3.99308895640022e-05,0.996811112557603,5.896663078579117,high_frequency,JP-13,ah
155,103.56223634327038,103.56223634327038,3.954791534782093e-05,0.9968506604729508,5.896663078579117,high_frequency,JP-13,ah
156,102.68207907285135,102.68207907285135,3.887855031151508e-05,0.9968895390232623,4.718346253229973,high_frequency,JP-13,ah
157,100.80204595264689,100.80204595264689,3.746790838069887e-05,0.9969270069316429,4.718346253229973,high_frequency,JP-13,ah
158,100.49701033235849,100.49701033235849,3.7241489285150696e-05,0.9969642484209281,4.718346253229973,high_frequency,JP-13,ah
159,100.17639753751028,100.17639753751028,3.7004247364327637e-05,0.9970012526682924,4.213846153846154,high_frequency,JP-13,ah
160,99.6737372665005,99.6737372665005,3.663382281407274e-05,0.9970378864911065,4.213846153846154,high_frequency,JP-13,ah
161,99.12881161029871,99.12881161029871,3.62343566862896e-05,0.9970741208477928,5.344390243902439,high_frequency,JP-13,ah
162,99.12365265835665,99.12365265835665,3.623058530161273e-05,0.9971103514330945,5.344390243902439,high_frequency,JP-13,ah
163,98.19116460023677,98.19116460023677,3.555212610461338e-05,0.9971459035591991,4.54228855721393,high_frequency,JP-13,ah
164,97.71015867755688,97.71015867755688,3.520466311730131e-05,0.9971811082223164,5.227099236641221,high_frequency,JP-13,ah
165,96.67543884201086,96.67543884201086,3.446299840848865e-05,0.9972155712207249,5.227099236641221,high_frequency,JP-13,ah
166,96.30943803639887,96.30943803639887,3.4202547381547914e-05,0.9972497737681064,3.585078534031414,high_frequency,JP-13,ah
167,96.126950922227,96.126950922227,3.407305621066343e-05,0.997283846824317,3.585078534031414,high_frequency,JP-13,ah
168,94.96818739957064,94.96818739957064,3.3256539251958884e-05,0.997317103363569,5.967320261437908,high_frequency,JP-13,ah
169,94.88789931921347,94.88789931921347,3.32003314820024e-05,0.9973503036950511,5.967320261437908,high_frequency,JP-13,ah
170,93.62866660390283,93.62866660390283,3.232499249138739e-05,0.9973826286875425,4.236658932714617,high_frequency,JP-13,ah
171,93.14576741105141,93.14576741105141,3.199241361310296e-05,0.9974146211011555,4.100299401197605,high_frequency,JP-13,ah
172,92.42598311003478,92.42598311003478,3.149988100259801e-05,0.9974461209821581,4.078927773641102,high_frequency,JP-13,ah
173,91.44537161317251,91.44537161317251,3.083501854249769e-05,0.9974769560007006,3.531914893617021,high_frequency,JP-13,ah
174,91.09393248211585,91.09393248211585,3.0598466194793504e-05,0.9975075544668954,3.531914893617021,high_frequency,JP-13,ah
175,90.9671289341348,90.9671289341348,3.0513338821809514e-05,0.9975380678057172,3.627814569536424,high_frequency,JP-13,ah
176,90.52464137429698,90.52464137429698,3.021721130972564e-05,0.9975682850170269,3.627814569536424,high_frequency,JP-13,ah
177,89.71665954536844,89.71665954536844,2.9680208370431932e-05,0.9975979652253973,4.378896882494005,high_frequency,JP-13,ah
178,89.66162871061377,89.66162871061377,2.9643808760332123e-05,0.9976276090341577,4.378896882494005,high_frequency,JP-13,ah
179,89.22242038643164,89.22242038643164,2.9354099128009018e-05,0.9976569631332857,4.259720062208398,high_frequency,JP-13,ah
180,89.18084933005308,89.18084933005308,2.932675181722924e-05,0.9976862898851029,4.259720062208398,high_frequency,JP-13,ah
181,88.8066456219728,88.8066456219728,2.908115748891939e-05,0.9977153710425918,3.844210526315789,high_frequency,JP-13,ah
182,88.75743614618068,88.75743614618068,2.904893755731179e-05,0.9977444199801491,3.844210526315789,high_frequency,JP-13,ah
183,88.46421147339879,88.46421147339879,2.8857318792724855e-05,0.9977732772989418,3.7290673927842066,high_frequency,JP-13,ah
184,88.31261206143401,88.31261206143401,2.8758499077440234e-05,0.9978020357980193,3.7290673927842066,high_frequency,JP-13,ah
185,87.27630935579691,87.27630935579691,2.8087526920460932e-05,0.9978301233249397,3.3835701050030877,high_frequency,JP-13,ah
186,87.2626659075456,87.2626659075456,2.8078746054949713e-05,0.9978582020709946,3.3835701050030877,high_frequency,JP-13,ah
187,86.23269837267382,86.23269837267382,2.7419826848812803e-05,0.9978856218978435,4.486486486486487,high_frequency,JP-13,ah
188,85.18992062893719,85.18992062893719,2.6760682345192672e-05,0.9979123825801887,4.486486486486487,high_frequency,JP-13,ah
189,84.81075154620888,84.81075154620888,2.652299595651994e-05,0.9979389055761452,4.486486486486487,high_frequency,JP-13,ah
