component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
95,2.7887375263898555,2.7887375263898555,0.00015948195998119694,0.9680231942968276,5.555780933062881,high_frequency,JP-13,incidence_per_100k
96,2.7859889899345838,2.7859889899345838,0.00015916774900559134,0.9681823620458332,5.555780933062881,high_frequency,JP-13,incidence_per_100k
97,2.7851958996721966,2.7851958996721966,0.00015907714102067589,0.9683414391868539,5.555780933062881,high_frequency,JP-13,incidence_per_100k
98,2.784592924494215,2.784592924494215,0.00015900827032868777,0.9685004474571826,2.4532019704433496,high_frequency,JP-13,incidence_per_100k
99,2.775793636000112,2.775793636000112,0.00015800492871608554,0.9686584523858986,2.66699123661149,high_frequency,JP-13,incidence_per_100k
100,2.7752738741460994,2.7752738741460994,0.00015794576203686126,0.9688163981479355,2.66699123661149,high_frequency,JP-13,incidence_per_100k
101,2.7728805145700886,2.7728805145700886,0.00015767345881992923,0.9689740716067554,14.046153846153846,subseasonal,JP-13,incidence_per_100k
102,2.764394370290979,2.764394370290979,0.00015670984553755023,0.9691307814522929,4.347619047619048,high_frequency,JP-13,incidence_per_100k
103,2.7628480984342003,2.7628480984342003,0.00015653458237223662,0.9692873160346651,4.347619047619048,high_frequency,JP-13,incidence_per_100k
104,2.758584088917579,2.758584088917579,0.00015605178356244603,0.9694433678182276,2.0191669738297087,high_frequency,JP-13,incidence_per_100k
105,2.7540477536481616,2.7540477536481616,0.0001555389689202479,0.9695989067871479,2.444444444444444,high_frequency,JP-13,incidence_per_100k
106,2.753204945650309,2.753204945650309,0.00015544378580044377,0.9697543505729483,2.444444444444444,high_frequency,JP-13,incidence_per_100k
107,2.7513002874932457,2.7513002874932457,0.00015522878919013174,0.9699095793621385,19.288732394366196,subseasonal,JP-13,incidence_per_100k
108,2.745962215902643,2.745962215902643,0.00015462702387430112,0.9700642063860128,2.0679501698754246,high_frequency,JP-13,incidence_per_100k
109,2.741437568837334,2.741437568837334,0.00015411787171088514,0.9702183242577237,2.0679501698754246,high_frequency,JP-13,incidence_per_100k
110,2.7385976697452774,2.7385976697452774,0.00015379873075399095,0.9703721229884776,2.22502030869212,high_frequency,JP-13,incidence_per_100k
