target_variable,frequency_band,model_name,split,selected_alpha,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
cases,subseasonal,ridge,train,1000.0,200750,0.3270099684210887,0.46783879906467524,0.9995740763612949,0.0008516658664642351,0.029185645486690236
cases,subseasonal,ridge,validation,1000.0,16790,0.386342048604234,0.5700809357383309,0.9994354896237992,0.0011287020804366943,0.038713609402896025
cases,subseasonal,prefecture_mean_baseline,validation,,16790,0.3865376411551912,0.5704655139760723,1.0001097116776168,-0.00021943539188540306,-0.005724363507172461
cases,subseasonal,ridge,test,1000.0,33580,0.42467999272470974,0.6163967636847848,0.9996169094036889,0.0007660344342175218,0.027931691405401818
cases,subseasonal,prefecture_mean_baseline,test,,33580,0.4245726595396111,0.6166283558477605,0.9999924847730532,1.5030397414683705e-05,0.004861885327611944
cases,high_frequency,ridge,train,1000.0,201047,0.6380877453759451,0.8722140780782645,0.999867608315872,0.0002647658406979003,0.01627312849439816
cases,high_frequency,ridge,validation,1000.0,16790,0.7583352437439884,1.0521322823710815,1.0001330014417125,-0.00026602057280844527,-0.002031874551976649
cases,high_frequency,prefecture_mean_baseline,validation,,16790,0.7582416233144288,1.0520244968839945,1.0000305430108494,-6.108695457451851e-05,-0.004234124986393358
cases,high_frequency,ridge,test,1000.0,33580,0.8307998791696444,1.1579231147853215,1.000088897031331,-0.0001778019653440044,-0.00039253010573260365
cases,high_frequency,prefecture_mean_baseline,test,,33580,0.8306935993928504,1.1578235222087714,1.0000028797226144,-5.759453521880786e-06,0.0006602591453809578
incidence_per_100k,trend,ridge,train,0.1,201618,0.008948339174704507,0.011794613986829256,0.34852001188495596,0.8785338013157102,0.937306598798328
incidence_per_100k,trend,ridge,validation,0.1,16790,0.014233597903494261,0.017508845878860146,0.5106190670412727,0.7392681683739002,0.8648623469272743
incidence_per_100k,trend,prefecture_mean_baseline,validation,,16790,0.022051344145935542,0.02474738765079695,0.721720213964286,0.47911993275534526,0.9379101368519478
incidence_per_100k,trend,ridge,test,0.1,33580,0.021549481926820182,0.02664481462694929,0.7389666984215543,0.4539282186239475,0.7143044636869587
incidence_per_100k,trend,prefecture_mean_baseline,test,,33580,0.023635537011271374,0.027173456480364382,0.7536280398696006,0.43204477752230364,0.9121618753442469
incidence_per_100k,interannual,ridge,train,1000.0,179703,0.004100629758447416,0.00649563958012039,0.976992849947964,0.045484971150555165,0.21397530824403801
incidence_per_100k,interannual,ridge,validation,1000.0,14965,0.0050379678532246714,0.008445125376234382,1.0816668720206282,-0.1700032220268899,-0.3068917922324742
incidence_per_100k,interannual,prefecture_mean_baseline,validation,,14965,0.005015134697958519,0.008634585327585783,1.1059332439004532,-0.22308833996417943,-0.592387068593078
incidence_per_100k,interannual,ridge,test,1000.0,29930,0.005421738823971151,0.008396638146372289,1.0258577730278033,-0.052384170481564185,0.012351052622572935
incidence_per_100k,interannual,prefecture_mean_baseline,test,,29930,0.005333731250623551,0.008491704716573121,1.0374725143439754,-0.07634921801921002,-0.3482059960546051
