prefecture_code,target_variable,frequency_band,model_name,split,selected_alpha,n_observations,mae,rmse,nrmse_std,r2,pearson_correlation
JP-33,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.015237544207841885,0.017350513601134803,1.0000030548649868,-6.1097393060371985e-06,-1.3148239925529944e-16
JP-34,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.00961522085015987,0.010677366070095949,1.0022348558835903,-0.004474706348000845,1.38294355664332e-16
JP-35,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.012765816632904652,0.014391982774441014,1.000095971292202,-0.00019195179489273073,-1.7437826856975458e-16
JP-36,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.002701787462605125,0.0031539017536659727,1.0006618150751136,-0.0013240681494208761,
JP-37,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.01191151224464246,0.013232131832566862,1.0000362867881711,-7.25748930732184e-05,-9.662190840557301e-17
JP-38,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.014297195735419453,0.01633135015149617,1.0115811356406526,-0.023296393984032715,8.272225081308595e-17
JP-39,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.016022658599112543,0.01781922105183951,1.0019531440767024,-0.003910102925189118,-2.28754608979962e-16
JP-40,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.007049122706147184,0.008161849833866964,1.0012131249532221,-0.0024277215785959427,-1.8656290849077792e-17
JP-41,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.011179514286677425,0.01244662626365231,1.0000655622159214,-0.00013112873024678784,-1.2525297740231353e-16
JP-42,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.01096988884292193,0.012177693021014754,1.0001012149439157,-0.000202440132296422,-2.0374493782059922e-16
JP-43,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.006947699787299146,0.00788116027775738,1.015812981543495,-0.03187601347228508,-6.370805252953071e-17
JP-44,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.010076647020311342,0.011237484839574985,1.000022696582716,-4.539368056688531e-05,1.0742660378491499e-16
JP-45,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.019678160508398632,0.02200055743946191,1.0040050569732506,-0.008026154427859922,1.2319354211957658e-16
JP-46,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.018612163129284306,0.020856249788188688,1.001813361635983,-0.0036300115523890675,
JP-47,incidence_per_100k,semiannual,prefecture_mean_baseline,validation,,365,0.013226810096160635,0.014719341903903647,1.0001022713580143,-0.00020455317545930995,-2.583350886318798e-18
JP-01,incidence_per_100k,semiannual,ridge,test,0.01,730,0.005978910128565024,0.0076700512567651905,0.7403290426320867,0.45191290863545797,0.693882573956411
JP-02,incidence_per_100k,semiannual,ridge,test,0.01,730,0.008149381339325776,0.009412310788508852,0.637973991897334,0.5929891856625805,0.7763262393090136
JP-03,incidence_per_100k,semiannual,ridge,test,0.01,730,0.010660388405922362,0.01296320019299739,0.651062849160676,0.5761171664427829,0.8496946249949772
JP-04,incidence_per_100k,semiannual,ridge,test,0.01,730,0.007766387055087075,0.00895667743937166,2.93538405786734,-7.616479567181729,0.6907866040739409
JP-05,incidence_per_100k,semiannual,ridge,test,0.01,730,0.006086681984235014,0.007182758593691731,1.3691515801164877,-0.8745760493354748,-0.02717958737818188
JP-06,incidence_per_100k,semiannual,ridge,test,0.01,730,0.00967328057847149,0.011033584943962196,0.680223262715872,0.537296312860174,0.9284398537576213
JP-07,incidence_per_100k,semiannual,ridge,test,0.01,730,0.008624173560369352,0.010117536984994175,0.6202752759542048,0.615258582039935,0.8129709065512847
JP-08,incidence_per_100k,semiannual,ridge,test,0.01,730,0.007691845746477986,0.009084572158000254,0.4412963123176538,0.8052575647348397,0.9390680520596025
JP-09,incidence_per_100k,semiannual,ridge,test,0.01,730,0.010596988604339256,0.012049577072423443,0.573774459731903,0.6707828693593628,0.9280941541036559
JP-10,incidence_per_100k,semiannual,ridge,test,0.01,730,0.010817698126053578,0.012360252259362351,0.56327374644716,0.6827226865633805,0.947914811174262
JP-11,incidence_per_100k,semiannual,ridge,test,0.01,730,0.005358209049478484,0.006950448247317302,0.6171621928367227,0.6191108277329678,0.8004103605355225
JP-13,incidence_per_100k,semiannual,ridge,test,0.01,730,0.006843118705407556,0.008599172161253428,0.667654812930719,0.5542370507704465,0.7496403784565298
JP-14,incidence_per_100k,semiannual,ridge,test,0.01,730,0.008069223886237473,0.009053355531696373,0.5372247725596859,0.7113895437481939,0.929302520636763
JP-15,incidence_per_100k,semiannual,ridge,test,0.01,730,0.009490357315001901,0.010612168113286751,0.6818099418570445,0.5351352031848936,0.9521695134141145
JP-16,incidence_per_100k,semiannual,ridge,test,0.01,730,0.00510541987306692,0.006019232996050894,0.8730827809904687,0.2377264575379493,0.5838932989220695
JP-17,incidence_per_100k,semiannual,ridge,test,0.01,730,0.013151317795778534,0.015922283550134603,1.6277614060148626,-1.6496071949114826,-0.0633166912048233
JP-18,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004404456030107053,0.005604144003260538,0.5489399049075909,0.698664980800045,0.8747997237253503
JP-19,incidence_per_100k,semiannual,ridge,test,0.01,730,0.010373740428815361,0.012672204375781565,0.6891767096286873,0.5250354629053762,0.7600306634119957
JP-20,incidence_per_100k,semiannual,ridge,test,0.01,730,0.00782413323722258,0.00985335833546838,1.305634266341982,-0.7046808374463653,0.34806239100749103
JP-21,incidence_per_100k,semiannual,ridge,test,0.01,730,0.011833243035169933,0.013500715400134398,0.6498260861727668,0.5777260577293837,0.8671370707290843
JP-22,incidence_per_100k,semiannual,ridge,test,0.01,730,0.007992840420170493,0.009300178465057263,0.4742537038217609,0.7750834244113415,0.9213625493486779
JP-23,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004604844914977339,0.005875999251217352,0.39031785844948963,0.8476519693754042,0.9457963775564603
JP-24,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0089010476164684,0.010789288035438918,0.5693149394025863,0.6758804997730296,0.9128256155447266
JP-25,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004755915931757705,0.006128649216750203,0.7041188271974385,0.5042166771861036,0.7892467179344824
JP-26,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004092548995829309,0.005502885687736759,0.4935012163202651,0.756456549490419,0.876955134914025
JP-27,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0098198447075852,0.011190355863909473,0.6555891167984523,0.5702029099354251,0.8044599525159641
JP-28,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0037102839853270357,0.004852104747283994,0.4512739080369999,0.7963518599250132,0.8956981734531325
JP-29,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0132087941591938,0.015373637612482999,0.6210805538428465,0.614258945638263,0.9112784539274666
JP-30,incidence_per_100k,semiannual,ridge,test,0.01,730,0.013841887210402458,0.015566195830452836,0.6286633617766885,0.6047823775596326,0.8481855814090673
JP-31,incidence_per_100k,semiannual,ridge,test,0.01,730,0.009192552994658707,0.010774150694838681,0.5183529787236649,0.7313101894483038,0.9529687871315191
JP-32,incidence_per_100k,semiannual,ridge,test,0.01,730,0.008366810605157883,0.009432318812904138,1.7583720671559038,-2.091872326554126,0.6797721686348512
JP-33,incidence_per_100k,semiannual,ridge,test,0.01,730,0.01154811801701283,0.014750059154304055,0.9020582457654286,0.18629092124659785,0.49511943812135073
JP-34,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004737776816117617,0.005614057553424564,0.44767468391864046,0.7995873773783453,0.9078348309112209
JP-35,incidence_per_100k,semiannual,ridge,test,0.01,730,0.005426832057383133,0.007807579277493726,0.4749202947834733,0.7744507136027788,0.9297111564411789
JP-36,incidence_per_100k,semiannual,ridge,test,0.01,730,0.005444136307112007,0.006759263747042298,1.948565449290037,-2.796907310166884,0.7825780557038482
JP-37,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004580037017874831,0.0060331631715396135,0.45098347315236925,0.7966139069434263,0.9004855226931908
JP-38,incidence_per_100k,semiannual,ridge,test,0.01,730,0.009604059054003128,0.011115352505405962,0.5739373080203444,0.6705959664623604,0.8842780114987734
JP-39,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0061679357017438265,0.007343217283058601,0.4046281882577917,0.8362760292672171,0.9531699863747954
JP-40,incidence_per_100k,semiannual,ridge,test,0.01,730,0.0029420493022863673,0.003537245202920955,0.4107893194669655,0.8312521350118673,0.917594799609234
JP-41,incidence_per_100k,semiannual,ridge,test,0.01,730,0.00705654419811516,0.00857316742262501,0.5809404307324629,0.6625082159403803,0.887501779542943
JP-42,incidence_per_100k,semiannual,ridge,test,0.01,730,0.003575401334633478,0.004415702411859128,0.38350372466700033,0.8529248931665376,0.9377166224223338
JP-43,incidence_per_100k,semiannual,ridge,test,0.01,730,0.004745683210850525,0.006009940066856043,0.6127389149443979,0.6245510221127619,0.8184974276932637
JP-44,incidence_per_100k,semiannual,ridge,test,0.01,730,0.005886230983700794,0.0068792799525651755,0.5945402197205512,0.6465219271346387,0.8087995851962863
JP-45,incidence_per_100k,semiannual,ridge,test,0.01,730,0.010750095529348375,0.012387503098725562,0.6045457023790207,0.6345244937350565,0.9249310268580541
JP-46,incidence_per_100k,semiannual,ridge,test,0.01,730,0.012279417664104732,0.015628759829030836,0.6411963443087496,0.5888672480450956,0.8706339744978412
JP-47,incidence_per_100k,semiannual,ridge,test,0.01,730,0.012833760940183233,0.014610674843939226,0.9902501582273415,0.01940462413072508,0.19344394467704587
JP-01,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.009090499429623342,0.010367483490889902,1.0006907216616865,-0.0013819204197871304,8.991248136739215e-17
JP-02,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013233806759009913,0.014757974277581125,1.0003073606198047,-0.0006148157101599772,5.669656852158895e-17
JP-03,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.017585262389629475,0.0200431220311538,1.0066443425541822,-0.013332832396341976,1.527664729440112e-17
JP-04,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.0024600903320372448,0.0030513423311797623,1.0000205650667255,-4.113055637278151e-05,5.918872504640744e-17
JP-05,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.004239638257208293,0.0052899225712666935,1.008345993070766,-0.016761641741869227,1.8118725630619084e-17
JP-06,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01426126139530079,0.016224038159574912,1.0002159975549891,-0.0004320417649221753,-4.453647257404014e-17
JP-07,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.014486874685544621,0.01633639423558308,1.0015344107564743,-0.0030711759293182705,-9.323887819617348e-17
JP-08,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.018494225917379616,0.02058617002926684,1.0000031658793511,-6.331768725331699e-06,
JP-09,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01889208976671599,0.021005629872630143,1.0002420714897882,-0.0004842015781825193,-1.4483941903928955e-17
JP-10,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.019742280927193497,0.021949895050492076,1.0002869973667088,-0.0005740771009061785,-7.854837546782681e-17
JP-11,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.009359433087070865,0.011264359234448903,1.000214144277147,-0.0004283344120659116,2.0256533578088714e-17
JP-13,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.011150970740328026,0.012984484451804269,1.0081381527320858,-0.016342534994062685,
JP-14,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.015109730516736227,0.01685631960613375,1.0002515017657523,-0.0005030667846426251,-6.994159420509938e-17
JP-15,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.014031920479982774,0.01556986812476894,1.0003319555011005,-0.0006640211966559839,3.908468079167069e-17
JP-16,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.005439652297029121,0.006908221748183389,1.002029570804106,-0.004063260765861054,1.0478406629314177e-16
JP-17,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.008811884426612843,0.009855059111115907,1.0074990075738226,-0.015054250262237279,1.7880127177576215e-16
JP-18,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.009183754937348312,0.010212395441770427,1.0003296452451187,-0.0006593991562251489,6.42439143154274e-17
JP-19,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.015262202899153594,0.018438128281376257,1.0027559691947292,-0.005519533755660833,0.0
JP-20,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.005940792082704641,0.007547014254996927,1.000028628252156,-5.725732388883742e-05,-4.030460116753931e-17
JP-21,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.018678933318728465,0.020799119234770503,1.0011180776418027,-0.002237405381218638,
JP-22,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01738015786676597,0.019615983877166333,1.0002983322102088,-0.000596753422525298,-7.755446718811408e-18
JP-23,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013304235228207804,0.0150544769470569,1.0000054375151768,-1.0875059920145702e-05,
JP-24,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01665300290566956,0.018957979948103772,1.0003497144481484,-0.0006995511964915657,6.018779401800325e-17
JP-25,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.007753911147352277,0.008722877271805454,1.0021689767500992,-0.0043426579603411675,1.65993914777776e-16
JP-26,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.009762903030496164,0.01115078885230908,1.0000076639440865,-1.532794690883854e-05,
JP-27,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01506862924948641,0.0170704844026903,1.000077560444241,-0.0001551269041040193,5.791466705792522e-17
JP-28,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.00954967510827868,0.010789438820287198,1.0034804431381208,-0.006972999760679777,-1.0137121014840358e-16
JP-29,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.022168507106846275,0.024754620806378913,1.0000634845270242,-0.00012697308433340382,
JP-30,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.02229547850449584,0.024761365547619932,1.000023607366847,-4.7215291002045134e-05,-4.453085534148527e-17
JP-31,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.018712524715516213,0.020880058944194854,1.0045562806944905,-0.009133321082748003,2.0121604870680924e-17
JP-32,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.004771422199448696,0.005374476533480739,1.0019094561486457,-0.0038225583200748314,-8.85991786761445e-19
JP-33,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013632031226966039,0.016398589072643736,1.0028761469462109,-0.005760566113677479,-3.7203875276440864e-17
JP-34,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.011262147714922425,0.012574049495022539,1.002676509760365,-0.005360183225227244,-6.21536895919143e-17
JP-35,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013248588455525031,0.016446180346455227,1.0003900749001338,-0.0007803019586953841,-1.5418440362247544e-17
JP-36,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.00298931782001345,0.0034699656662184196,1.0003242158400105,-0.0006485367959316868,
JP-37,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.012018626586771648,0.013383235412913,1.0004068872201657,-0.0008139399975413131,
JP-38,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01723447652597498,0.0193818058184209,1.000772710589916,-0.0015460182614879248,
JP-39,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.016311092124051997,0.018159914598520215,1.000653127869159,-0.0013066823143315087,
JP-40,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.007596512855750061,0.008629821074559639,1.0022031617747735,-0.0044111774713526675,-1.1480338762845376e-16
JP-41,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013228811273800956,0.014757585275883757,1.0000128918651072,-2.5783896414610652e-05,1.0305704060633871e-17
JP-42,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01037578442478559,0.011521850523673749,1.0006726402164705,-0.0013457328778017086,1.3208611259650732e-17
JP-43,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.008632472078194783,0.009993973670998614,1.018928061682658,-0.03821439488437828,
JP-44,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01045513088284201,0.011571161562849493,1.0000350306187593,-7.006246466301214e-05,2.546638712738012e-17
JP-45,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.01807369498664806,0.02051763244829418,1.0013193474708162,-0.0026404356193807654,1.4844402699893813e-17
JP-46,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.020975060144144696,0.02439499203648715,1.0008458690484978,-0.0016924535914428773,1.1543183999061043e-16
JP-47,incidence_per_100k,semiannual,prefecture_mean_baseline,test,,730,0.013225279313213155,0.014759698554042433,1.0003503592163836,-0.0007008411843476559,5.153852898302788e-18
JP-01,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4353,0.007717427909224189,0.01020455817844949,1.0083649869877527,-0.0167999469828104,0.04215309128044782
JP-02,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4353,0.013760461245101803,0.01747335919807154,0.956353889741456,0.085387237576387,0.35005940517975404
JP-03,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4353,0.013399225144478258,0.016554557056161243,0.9676950166796069,0.06356635469345506,0.3183073508529485
JP-04,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4353,0.010061369007028257,0.012630369901739678,0.9739095905037874,0.05150010952474526,0.22821573460561287
JP-05,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4366,0.015166975505226724,0.019186890849138907,0.9999617465006903,7.65055352894839e-05,0.039143779942263306
JP-06,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4353,0.009842170696980285,0.01236655838318177,0.9980549752368664,0.0038862664049381657,0.11173115383193995
JP-07,incidence_per_100k,seasonal_subannual,ridge,train,1000.0,4361,0.012158120329748267,0.015221524177355627,0.9788656416618908,0.041822055573854544,0.22100770335590955
