date,original,high_frequency,seasonal_subannual,subseasonal,trend,reconstructed_without_noise,residual
2013-12-14,0.0,-0.023306726390629962,-0.012034777448899796,-0.007301583123214841,0.014669969815771698,-0.027973117146972905,0.027973117146972905
2013-12-15,0.0,0.00850215828324494,-0.01547185282665988,-0.02704141278363111,0.014689209693515169,-0.019321897633530878,0.019321897633530878
2013-12-16,0.0,-0.015910302208410367,-0.018060140421837966,-0.02121835735634471,0.014708083449132103,-0.04048071653746094,0.04048071653746094
2013-12-17,0.0,-0.02282867885360055,-0.020262270613037044,-0.025297975901116314,0.014726896856699274,-0.05366202851105463,0.05366202851105463
2013-12-18,0.0,0.0535231014609933,-0.021869723383800714,-0.01592464066057354,0.014747036798263021,0.030475774214882068,-0.030475774214882068
2013-12-19,0.0,0.02086018552050231,-0.02331021351221016,-0.012738712273672221,0.01476625133515459,-0.00042248893022548036,0.00042248893022548036
2013-12-20,0.0,-0.06713860793703781,-0.024085870232531087,-0.024622304666702476,0.014786657428809847,-0.10106012540746152,0.10106012540746152
2013-12-21,0.0,0.0340565055334456,-0.024069422222341215,-0.017019444407280853,0.014808696291603042,0.007776335195426575,-0.007776335195426575
2013-12-22,0.0,-0.014737925191437962,-0.022871966681003685,-0.02412910084000513,0.014829985688458057,-0.046909007023988716,0.046909007023988716
2013-12-23,0.0,-0.019748076963608596,-0.02020785109212958,-0.01753972132948112,0.014851579598370104,-0.04264406978684919,0.04264406978684919
2013-12-24,0.0,0.05361649189020354,-0.01665565630954427,0.009932049192145322,0.014873855325168045,0.06176674009797264,-0.06176674009797264
2013-12-25,0.0,-0.02700325038532009,-0.0123753297106537,0.01603098441716599,0.01489463986227143,-0.008452955816536373,0.008452955816536373
2013-12-26,0.0,0.02648566280088262,-0.008008900743330888,0.02159042794956033,0.014916978478637566,0.05498416848574963,-0.05498416848574963
2013-12-27,0.0,-0.04979171771821865,-0.003572649007359475,-0.002613508977176003,0.014939121439375164,-0.041038754263378954,0.041038754263378954
2013-12-28,0.0,0.009950754343989199,0.000690630990778829,-0.02247438125610176,0.01496170048523716,0.0031287045639034287,-0.0031287045639034287
2013-12-29,0.0,0.021194516372362446,0.004682299086767535,-0.030843754434230694,0.014983647592480215,0.010016708617379503,-0.010016708617379503
2013-12-30,0.0,-0.03498041409505837,0.008876922556492826,-0.04487560211069043,0.015006398622299159,-0.055972695026956815,0.055972695026956815
2013-12-31,0.0,-0.02873498265687231,0.012948727208487016,-0.015019513837848756,0.015028901588430735,-0.01577686769780331,0.01577686769780331
2014-01-01,0.0,0.041286549951333476,0.01711474918381688,0.023375259619182895,0.015051326061915246,0.09682788481624849,-0.09682788481624849
2014-01-02,0.0,0.011922770774508942,0.02068887890296336,0.03604263314537967,0.015072681634776285,0.08372696445762826,-0.08372696445762826
2014-01-03,0.0,0.06102820430717186,0.023556066423201634,0.04988492819655892,0.015095134398976308,0.14956433332590874,-0.14956433332590874
2014-01-04,0.0,-0.08943372291765708,0.02528018875333333,0.035674528966833305,0.01511446005255383,-0.013364545144936625,0.013364545144936625
2014-01-05,0.0,-0.005352921413274459,0.025586349462827958,0.027163893330236555,0.01513538831981065,0.0625327096996007,-0.0625327096996007
2014-01-06,0.0,0.07865283275504964,0.024767734310189287,0.022476972746884545,0.015155849926202874,0.14105338973832635,-0.14105338973832635
2014-01-07,0.0,-0.02518100567096296,0.022788343245958277,-0.0002750559869288431,0.015174566928110233,0.012506848516176707,-0.012506848516176707
2014-01-08,0.0,0.02190862811366344,0.020574221645913736,-0.005494875991249586,0.015194624323000647,0.05218259809132823,-0.05218259809132823
2014-01-09,0.0,-0.030993657413833534,0.018026417913019503,-0.024351380444051378,0.01521522954192894,-0.022103390402936466,0.022103390402936466
2014-01-10,0.0,-0.05663038508364734,0.01509343406607402,-0.04790501484269033,0.01523571722386125,-0.0742062486364024,0.0742062486364024
2014-01-11,0.0,0.06999244497273402,0.011736344619190958,-0.02918418715524451,0.015257668823942321,0.06780227126062278,-0.06780227126062278
2014-01-12,0.0,0.01582591488189172,0.007470124000403117,-0.01526047005751087,0.015278142174803954,0.02331371099958792,-0.02331371099958792
2014-01-13,0.0,-0.048995480260569914,0.0026241719555259654,0.008176211815545308,0.015298114487733206,-0.022896982001765435,0.022896982001765435
2014-01-14,0.0,-0.008536955072792474,-0.002947104554590036,0.040610226595787405,0.01531972826289462,0.04444589523129951,-0.04444589523129951
2014-01-15,0.0,-0.03257242640885821,-0.00837627334904846,0.04056552619626172,0.015341407625360992,0.014958234063716038,-0.014958234063716038
2014-01-16,0.0,0.026211765034664505,-0.013168286257850529,0.037437030244935575,0.015362124239837235,0.06584263326158679,-0.06584263326158679
2014-01-17,0.0,0.044546403791456315,-0.01710340654979088,0.0078671758328689,0.015382073757875014,0.05069224683240935,-0.05069224683240935
2014-01-18,0.0,0.03196355372474282,-0.01996879194019737,-0.020042433907253594,0.015401820004745579,0.0073541478820374345,-0.0073541478820374345
2014-01-19,0.0,-4.0699216876720085e-05,-0.022315774696397176,-0.012455741904427494,0.015421037430550365,-0.01939117838715102,0.01939117838715102
2014-01-20,0.0,-0.08449536803637135,-0.02384388607285058,-0.015864602392749366,0.015439646597636254,-0.10876420990433505,0.10876420990433505
2014-01-21,0.0,-0.033398152114177224,-0.024945313129831274,0.0020141691439218164,0.01546027104585754,-0.040869025054229145,0.040869025054229145
2014-01-22,0.0,0.0724916037745694,-0.025536512378935707,0.01831171969667694,0.015480442275843893,0.08074725336815453,-0.08074725336815453
2014-01-23,0.0,0.055856823658544885,-0.025391481458803315,9.793649788130809e-05,0.015498663791167357,0.04606194248879024,-0.04606194248879024
2014-01-24,0.0,-0.049551617245193975,-0.024256658409891586,-0.012030525304348977,0.015515445455289042,-0.0703233555041455,0.0703233555041455
2014-01-25,0.0,0.023364362792134434,-0.021645847255750285,-0.037502410948780554,0.015532673814360654,-0.020251221598035753,0.020251221598035753
2014-01-26,0.0,0.02655143023292721,-0.018123374188030228,-0.03738908380677203,0.01554971954609488,-0.013411308215780167,0.013411308215780167
2014-01-27,0.0,-0.06360018447393079,-0.013502437081489141,-0.01949281898562818,0.015568484539258945,-0.08102695600178915,0.08102695600178915
2014-01-28,0.0,-0.09492482819889994,-0.008399535200220003,-0.013562622778901886,0.015586685413634426,-0.10130030076438741,0.10130030076438741
2014-01-29,0.0,0.11030680550540078,-0.0032343258613893536,0.019398770099741915,0.015605347338631188,0.14207659708238454,-0.14207659708238454
2014-01-30,0.0,-0.045371659886973933,0.0016421422476138854,-0.0024341589155677055,0.015623073388083625,-0.030540603166844125,0.030540603166844125
2014-01-31,0.0,0.009775438750706456,0.005916641979410383,-0.04304718240264494,0.01564128069078928,-0.011713820981738822,0.011713820981738822
2014-02-01,0.0,0.05259747668550557,0.010184509564326672,-0.05894941292970651,0.015659224317366636,0.019491797637492373,-0.019491797637492373
2014-02-02,0.0,-0.03460958241558861,0.014309020940714283,-0.07823435069111737,0.01567814115550203,-0.08285677101048966,0.08285677101048966
2014-02-03,0.0,0.004529604462525384,0.018559591097055805,-0.036328070569145554,0.01569824947218226,0.002459374462617892,-0.002459374462617892
2014-02-04,0.0,-0.10599788433811021,0.022466599372253766,0.03454756649014299,0.015718053865703074,-0.03326566461001037,0.03326566461001037
2014-02-05,0.0,-0.17739665591448064,0.025693340416595274,0.11479101720405485,0.015739216357606937,-0.021173081936223588,0.021173081936223588
2014-02-06,3.1317036711757087,0.5331209112932133,0.02788404889945377,0.19470695099690125,0.015759271814052248,0.7714711830036205,2.3602324881720884
2014-02-07,0.0,-0.12557893094129213,0.027930095913607105,0.13488248750776066,0.01571855865368112,0.052952211133756755,-0.052952211133756755
2014-02-08,0.0,-0.08033526286590313,0.026745889110131402,0.05199204186378877,0.015676558333086663,0.014079226441103702,-0.014079226441103702
2014-02-09,0.0,-0.06436235226108547,0.02444732477374567,-0.022631631168182453,0.015633668728208823,-0.04691298992731343,0.04691298992731343
2014-02-10,0.0,-0.005415668442008776,0.021838887523245025,-0.0880983022047024,0.015591863412588496,-0.05608321971087766,0.05608321971087766
2014-02-11,0.0,0.04383004432803614,0.01887948581023933,-0.07815499915216594,0.015550623206073264,0.00010515419218278844,-0.00010515419218278844
2014-02-12,0.0,0.027195846108772275,0.015462224317261474,-0.04732437395249218,0.015510187780712864,0.010843884254254435,-0.010843884254254435
2014-02-13,0.0,-0.04888310544411366,0.011753695680896546,0.003330486007911901,0.015469651722678727,-0.01832927203262649,0.01832927203262649
2014-02-14,0.0,0.08863002946371046,0.007204090494557256,0.04773013563284107,0.015428090829423528,0.1589923464205323,-0.1589923464205323
2014-02-15,0.0,-0.08651897395093128,0.002129945754667774,0.019080708543612303,0.015386268853632847,-0.04992205079901837,0.04992205079901837
2014-02-16,0.0,-0.03860925526731529,-0.0035361097219434455,0.0029710194795209816,0.015343629428698418,-0.023830716081039333,0.023830716081039333
2014-02-17,0.0,0.016761156844957395,-0.009110506377291595,-0.028088222916223975,0.015299082094371785,-0.005138490354186389,0.005138490354186389
2014-02-18,0.0,0.030722322137426247,-0.013974909929460776,-0.05874958806531822,0.015257554908382051,-0.026744620948970697,0.026744620948970697
2014-02-19,0.0,-0.02344387149909445,-0.018203950878002088,-0.047223357277014266,0.015216291079299525,-0.07365488857481128,0.07365488857481128
2014-02-20,0.0,0.0021529207170544002,-0.021278848385491503,-0.03627612808797931,0.015175288488417066,-0.04022676726799934,0.04022676726799934
2014-02-21,0.0,0.032075548784169634,-0.023477485536099733,-0.011378832568812492,0.015135277664046098,0.012354508343303507,-0.012354508343303507
2014-02-22,0.0,0.010320190726806622,-0.024637282327965623,-0.005323465464383958,0.015095941431885465,-0.004544615633657495,0.004544615633657495
2014-02-23,0.0,-0.056332176353016336,-0.025349977159476407,-0.014579443553124197,0.015056634882687455,-0.0812049621829295,0.0812049621829295
2014-02-24,0.0,-0.012011675801560588,-0.02562723023785718,-0.0025244204053962143,0.015017767869998592,-0.02514555857481539,0.02514555857481539
2014-02-25,0.0,0.044492275562022725,-0.025118172804452908,-0.005823533610472413,0.014980035854523416,0.028530605001620822,-0.028530605001620822
2014-02-26,0.0,0.0033649694309833104,-0.02388730799374142,0.0071813361397656,0.014941373660715058,0.0016003712377225497,-0.0016003712377225497
2014-02-27,0.0,0.01442691087947781,-0.02132876857977189,0.03645601886663566,0.014902724002382127,0.0444568851687237,-0.0444568851687237
2014-02-28,0.0,-0.03532641871042456,-0.01778512196605372,0.04318758201869765,0.01486464151918968,0.004940682861409055,-0.004940682861409055
2014-03-01,0.0,0.03049665108298697,-0.01311193867715492,0.05024527890879104,0.014825522021577078,0.08245551333620017,-0.08245551333620017
2014-03-02,0.0,-0.04495646430100624,-0.007904927954916024,0.02148103899749093,0.01478596973626909,-0.01659438352216224,0.01659438352216224
2014-03-03,0.0,0.04627560073717457,-0.002851413940841672,-0.01094075513073929,0.01474575566069249,0.0472291873262861,-0.0472291873262861
2014-03-04,0.0,0.018335888015354528,0.0018579518385924694,-0.027866285485438416,0.01470492239062528,0.007032476759133863,-0.007032476759133863
2014-03-05,0.0,-0.04463865322492118,0.005928391793015321,-0.043966975509678,0.014663525934924074,-0.06801371100665977,0.06801371100665977
2014-03-06,0.0,-0.023587635613395823,0.010046037247403092,-0.024292294275071957,0.014622953165289563,-0.023210939475775128,0.023210939475775128
2014-03-07,0.0,-0.026787455493079374,0.013890630940750322,0.004477826657190191,0.01458208999353442,0.006163092098395559,-0.006163092098395559
2014-03-08,0.0,0.04019681910938276,0.01767271084508911,0.020698815412081607,0.014541963571524603,0.09311030893807809,-0.09311030893807809
2014-03-09,0.0,0.08092494772137793,0.021193487892375282,0.0439468185417775,0.014501803997874142,0.16056705815340486,-0.16056705815340486
2014-03-10,0.0,-0.014212308789238626,0.023881258960076535,0.03498129338071573,0.014460697680677908,0.059110941232231554,-0.059110941232231554
2014-03-11,0.0,-0.04741661403720608,0.025685404739055645,0.02148728687291453,0.014419248902166905,0.014175326476930998,-0.014175326476930998
