component,singular_value,norm,variance_fraction,cumulative_variance_fraction,dominant_period_days,assigned_band,prefecture_code,variable
56,6.199093670361739,6.199093670361739,0.003586445388139895,0.23462400023644148,8.835483870967742,subseasonal,JP-13,c2w_event
57,6.191040616070727,6.191040616070727,0.003577133356027756,0.23820113359246922,8.835483870967742,subseasonal,JP-13,c2w_event
58,6.189851234571528,6.189851234571528,0.0035757590579679585,0.24177689265043717,3.8550316678395493,high_frequency,JP-13,c2w_event
59,6.175384166868364,6.175384166868364,0.0035590638925252892,0.24533595654296245,26.721951219512196,subseasonal,JP-13,c2w_event
60,6.168887085902535,6.168887085902535,0.00355157889674429,0.24888753543970674,25.839622641509436,subseasonal,JP-13,c2w_event
61,6.121969082159043,6.121969082159043,0.0034977606572945625,0.2523852960970013,2.1947115384615383,high_frequency,JP-13,c2w_event
62,6.113752030819823,6.113752030819823,0.003488377404979329,0.2558736735019806,2.1947115384615383,high_frequency,JP-13,c2w_event
63,6.10588511122448,6.10588511122448,0.003479405785485094,0.2593530792874657,10.977955911823647,subseasonal,JP-13,c2w_event
64,6.0979683073476085,6.0979683073476085,0.0034703889386295717,0.26282346822609526,10.977955911823647,subseasonal,JP-13,c2w_event
65,6.08681628475072,6.08681628475072,0.0034577071847229635,0.2662811754108182,2.668290306867998,high_frequency,JP-13,c2w_event
66,6.086141974282409,6.086141974282409,0.0034569411228298815,0.2697381165336481,5.934994582881907,high_frequency,JP-13,c2w_event
67,6.0841738806078745,6.0841738806078745,0.003454705721835845,0.27319282225548397,2.668290306867998,high_frequency,JP-13,c2w_event
68,6.08286576176311,6.08286576176311,0.003453220333703211,0.2766460425891872,5.934994582881907,high_frequency,JP-13,c2w_event
69,6.0758680803626826,6.0758680803626826,0.003445279788144667,0.28009132237733186,3.0984162895927603,high_frequency,JP-13,c2w_event
70,6.074810800286284,6.074810800286284,0.0034440808454759566,0.28353540322280785,3.0984162895927603,high_frequency,JP-13,c2w_event
71,6.069149851865245,6.069149851865245,0.0034376649486137128,0.28697306817142154,3.5827338129496398,high_frequency,JP-13,c2w_event
